"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Abiotic",0,0,13.35,0.03
"2","Forb",0,0,0,0
"3","Graminoid",151,0.339325842696629,44.5,0.1
"4","Lichen",0,0,22.25,0.05
"5","Moss",0,0,0,0
"6","ShrubDecid",3,0.00674157303370787,66.75,0.15
"7","ShrubEvergreen",290,0.651685393258427,298.15,0.67
"8","TreeBroadleaf",0,0,0,0
"9","TreeConifer",1,0.00224719101123596,0,0
"10","Unknown",0,0,0,0
