source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,dd1626c8-1b09-4ae8-94ca-164d3cc826fc
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,09401eb7-2b7d-495f-b5e6-b75f9c2b552e
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,83b8f3e6-530f-4879-8444-c1a15433a841
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,21603f73-c8ad-4d33-942d-0d8fa0a3fb5c
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,f2f7c634-aff3-4426-a461-5e969b01a9d2
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,edb1810b-4668-4257-8970-c579ef234dd9
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,fa41dc59-4f95-4983-b6a7-37d131624439
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,cb34e5c8-825f-41ca-b1d5-c26d306ca404
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,59c602ab-11ef-4951-bca1-4039fd53081d
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,9a424cf2-8bec-40b0-b343-6867a93c300e
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,6530e500-896f-4569-8ab5-2aec525f94fc
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,34886d88-97c5-4772-8a6e-e5a31a8bee0a
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,5ee16c37-502e-4aa9-9182-bbcbe5f1260b
v2,no_treatment,center & scale & Nothing,balanced,16,,0.775,0.273100548499139,1.18368152605555,61718,ec3f2a08-fb05-473e-99dc-4ad910aec181
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,f21c83c9-a70a-4325-9565-7d072d361536
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,8634eb01-654a-4ca6-b240-9e8d41f645fe
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,a759d7ee-7d65-47f6-9f57-30e2657eb3e7
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,15e5926c-4adb-443c-a6e8-525aed7b5f25
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,bf144f51-0dec-4065-9537-8c071b94734a
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,0b0c8749-4bac-47d7-ba46-3ea73c032e8e
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,aa609163-f93c-4e9c-aa59-01feef18106f
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,466b2ce0-977d-4a69-b005-5c0ea61a46b8
v2,no_treatment,center & scale & Nothing,balanced,32,,0.775,0.273100548499139,1.18368152605555,61718,787b9541-2c9b-4ae4-9cfa-99979a338302
