"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","Boochs","Boochs2","CARI","Carter","Carter2","Carter3","Carter4","Carter5","Carter6","CI","CI2","ClAInt","CRI1","CRI2","CRI3","CRI4","D1","D2","Datt","Datt2","Datt3","Datt4","Datt5","Datt6","DD","DDn","DPI","DWSI4","EGFN","EGFR","EVI","GDVI_2","GDVI_3","GDVI_4","GI","Gitelson","Gitelson2","GMI1","GMI2","GreenNDVI","Maccioni","MCARI","MCARIOSAVI","MCARI2","MCARI2OSAVI2","mND705","mNDVI","MPRI","MSAVI","mSR","mSR2","mSR705","MTCI","MTVI","NDVI","NDVI2","NDVI3","NPCI","OSAVI","OSAVI2","PARS","PRI","PRICI2","PRI_norm","PSND","PSRI","PSSR","RDVI","REP_LE","REP_Li","SAVI","SIPI","SPVI","SR","SR1","SR2","SR3","SR4","SR5","SR6","SR7","SR8","SRPI","Sum_Dr1","Sum_Dr2","TCARI","TCARIOSAVI","TCARI2","TCARI2OSAVI2","TGI","TVI","Vogelmann","Vogelmann2","Vogelmann3","Vogelmann4"
"101","quartz","Quartz","Abiotic",25,58,"Murphy",0.00101278769868666,0.000570095306476804,0.577054899380882,2.05831275504041,0.938529918591056,0.890389286436319,0.966549315523691,1.03305440992217,0.234863874002715,1.00522861935043,0.0526291027983496,20.4157776682097,1.06420430485437,1.84326362660318,4.03033350134995,4.26667159076403,0.517730705625768,1.66761758022996,0.179913139338484,1.0120904443332,0.0236567708523182,4.01551768820559,1.17113485065235,4.31437813348201,-0.00671563243094886,-0.568715604074786,0.419428635408822,0.849877512548227,-0.376312990921822,0.453157830516769,-0.0423786516399532,0.0864046699677646,0.12920473221981,0.171528746283307,0.87003105179567,3.47872619016198,-2.05961309095934,1.2874569406159,1.05188722294665,0.124000377747595,0.403597167275216,0.0021317769263953,0.0511514001598109,-0.00148500381608174,-0.0797849281122205,0.0424021219957439,0.0926632665890035,-0.335161204239652,0.0337183135377555,1.2042533123081,0.34173625979606,1.08855934828117,0.677939209649083,-0.0243708873939126,0.0432832720371102,0.0203769532111684,0.0742945117480058,0.316305469493114,0.0416758274404035,0.0186125857504443,1.62828374036306,-0.104187383596872,-0.00548328852161085,2.85935129887448,0.304161320171515,0.344223770077953,1.10670531353185,0.0348455974253762,692.260738789889,705.016295942502,0.0368664439648705,5.89588143614328,-0.0434509994737329,1.09048294186153,1.05188722294665,1.07788605931519,1.2874569406159,1.04568216588853,0.957980916910885,1.03387917867549,0.534043199155934,0.80003638836325,0.519404155306112,0.0333916448302945,0.0270507375114851,0.00467427605496584,0.112157966429102,-0.00596227445701576,-0.320335634014389,2.91173271159088,0.0468461930971431,1.01649774499897,-0.0041332648331275,0.713995297646423,-0.00414525433970697
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic",8,58,"AK2018",0.0213499347555126,0.0127293252230797,0.869546678307963,2.91768995141213,0.260921392608825,0.209198304580286,0.61616956410015,2.65912373235454,0.138957465418838,1.26635595694553,1.59480575563989,10.7640857237559,7.93196080915818,9.68115420377943,11.6879865665942,12.5242272672248,0.374825725829876,1.74848858896348,0.438580439596409,1.64719204619412,0.0385112012102931,1.21831461172175,0.333341740546519,12.7024423203667,-0.054457839008008,-0.474356365548522,0.312739470623881,2.75986929090682,0.589858817056236,3.8763696092285,1.19117210234223,0.978392748194635,0.997719841088082,0.999761464930224,2.94800047287147,5.44725335248839,-4.86326835032218,3.3985290956095,2.57247078456094,0.552283527137271,0.432714574258519,0.502389125655728,0.685442247075603,0.319651290514541,1.04557519952533,0.362038901667916,0.949592133607473,-0.559646005784698,0.675490475670069,38.6763470293693,1.37047892559817,2.13498739222328,0.821561571125513,0.770315454543454,0.810763367621737,0.322598537649798,-0.454674372842142,0.0799670985563992,0.732941583042394,0.305718125926913,7.69748304723212,-0.0623802649143208,-0.0994844055237001,0.0265415018258097,0.855388943177941,0.0148846389848386,5.88579215174855,0.598408447583871,695.750452872339,711.504428786417,0.634463906757719,1.02654185128989,0.567324989034622,9.56877822684044,2.57247078456094,5.96847697786858,3.3985290956095,3.92757064738768,0.254859501372316,1.60896040341007,0.496238551432364,0.475690962207592,0.851908268940245,0.472939385378826,0.428723899070962,0.3053611704706,0.416624158780929,0.300682840635712,0.983529647527654,9.20183087722648,29.2192534551312,1.21985690893077,-0.0328788456345921,0.754101669797586,-0.0345336505873919
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic",8,58,"AK2018",0.00765107170380277,0.00536442228019398,0.690979833228305,5.19716414650298,0.634135707196766,0.350057900977299,0.776115436684787,1.32751850503546,0.111419186677078,1.04331527340924,0.454078321315806,18.0249940802487,4.11074243279855,9.82016452387609,9.00862182406809,11.6023110050728,0.566069740343324,1.4192537068414,0.555491178950225,1.44037302726817,0.268287242538841,5.67061103517834,1.91942817204287,13.2702894366372,-0.0411662862998502,-0.614366287013774,0.627824347569292,0.497860688058907,0.609490733770745,4.12151739525143,-2.99051028962476,0.63752726050423,0.811359526898173,0.906582298055252,0.525642550401053,3.2656927865625,-2.67120568348391,3.90117920730236,1.41948632079513,0.620437339031788,0.488939684655486,0.0785517717225185,0.218453587463797,0.0567127682010882,0.419875416159915,0.163143632531418,0.422944982097535,-0.466089087361479,0.323002849407093,2.46587402925598,0.672586572746527,1.3898963761844,0.836149838946697,0.220703110533479,0.360097859501356,0.140890140109292,0.334557807400901,0.603088010386542,0.359581056253134,0.13507046618678,5.7718548210817,-0.159485818684583,-0.0724190528219725,0.349493412089207,0.795744044793596,0.359542496898229,2.51499277125141,0.316965871101513,694.153317521484,710.843179834753,0.331942770332579,1.68218685919933,0.242720876827057,2.1254779026704,1.41948632079513,1.68981228898804,3.90117920730236,1.43969526300405,0.706159806331092,1.25781592963992,0.2006063635385,0.685863727895045,0.247592139072734,0.293763626576413,0.238462508210436,0.112294018479158,0.312291252629578,0.0645037993566357,0.477556650078023,-0.336159769795163,9.2673962321482,1.11494897125114,-0.0266229639500248,0.833286027400763,-0.0271959535450848
"39","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",0.000362133321994149,0.000211735269525188,0.422293510508925,2.02915002045203,0.967112062415844,0.916198017638145,0.980442944598235,1.01477936818934,0.180917073185058,0.999019468023229,0.0290568510316833,15.2103844479422,0.946179279946071,1.76227570264451,5.26140735810784,5.44037858159057,0.442674123002449,2.03713633118423,0.518639767337945,1.02445708245298,0.0783413334795064,5.38596946316343,1.15149779601044,5.66180715780632,-0.00166651933021816,-0.42355117343641,0.487175908331037,0.864430604405483,-0.618710654190764,0.2355512671904,-0.030637414415464,0.0522220136534411,0.0782440828070301,0.104159968624412,0.877055102359379,4.71129788229959,-2.04330206349991,1.20600083502058,1.02793990559825,0.0986549614464831,0.546280056569838,-0.00221797091010824,-0.0910839917078539,-0.00257017591929498,-0.265166613860287,0.0262066606358964,0.0600709931002136,-0.365520264683176,0.0173602209109577,1.12782027718955,0.320129287541928,1.05382386503693,0.940114715831635,-0.0247088648048284,0.0261288332269198,0.0114545731476211,0.0685748906646377,0.305570142040162,0.0243508312330255,0.00969268295838019,1.42575294458764,-0.0658488678562029,-0.00191336074390269,3.4215542079036,0.261873185031491,0.298763860869985,1.07915465196643,0.0188742380031173,675.675114145926,713.807302055194,0.0199600380710238,8.82348483345154,-0.0306944611430553,1.0536597326595,1.02793990559825,1.0372233491666,1.20600083502058,1.01966018216583,0.983041106920718,1.01884010546199,0.559282301933125,0.853839727388495,0.531897778295298,0.0174267854683019,0.0107089816477933,-0.00689529218684837,-0.283164550764769,-0.00805410407020384,-0.830946818831038,1.96612595334506,-0.488469541023045,1.00864994037316,-0.00275683448191897,0.834813874944529,-0.00276014433585502
"94","gravel","Gravel","Abiotic",5,58,"Murphy",0.00058477199410663,0.000419922942887516,0.217965096266926,1.86700271295196,0.883123261246574,0.810504141197496,0.921294383862231,1.0458146290138,0.0840403351552184,1.00134162028223,0.116142366186215,7.60984662761694,2.65782780539597,5.31897929899925,13.105771240454,13.4303022098457,0.739879977324858,1.37920816046314,0.433226475169759,1.05435098783724,0.268254500968869,10.9867128762928,1.21663060771733,12.5260858136387,-0.000304254168998014,-0.221353532495797,0.639981023245097,0.812786308052169,-0.177881720180419,0.697963357215235,1.13081681245487,0.160750022627767,0.238548796144969,0.313401570115427,0.83366947990011,9.23789672119797,-2.13796309262546,1.42710722529365,1.10794316649118,0.182649035263966,0.583226460752055,0.0014655957219924,0.0247621340838765,0.00319527252019578,0.106247714756628,0.093512625218429,0.176222462678279,-0.453380918951147,0.0323302833375239,1.42783993176414,0.400622389911159,1.2063186489298,1.24632820822356,0.000127948670589142,0.0809010643330797,0.0439794584566349,0.0971412565197493,0.280038078601348,0.0591869714067456,0.0300737999637442,1.75405583101865,-0.0996725123408161,-0.0115762014269871,2.26958495187625,0.326358697736907,0.314236806401521,1.22337571725907,0.0413918813820414,699.954795857741,715.817349493845,0.0405745547146929,3.3373227362781,-0.00341123813468302,1.17604429989765,1.10794316649118,1.14056518199327,1.42710722529365,1.0609961185606,0.94810397953918,1.07745580714972,0.566479759647413,0.81741770681372,0.562453518715106,0.0237526212140809,0.0189979409537688,0.00325800998303442,0.0550460668217786,0.0067967039560129,0.22600083674849,0.667482380977164,0.355034903959629,1.03925632046359,-0.0113274502641406,0.789666357936074,-0.0113948582227126
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic",8,58,"AK2018",0.0213499347555126,0.0127293252230797,0.869546678307963,2.91768995141213,0.260921392608825,0.209198304580286,0.61616956410015,2.65912373235454,0.138957465418838,1.26635595694553,1.59480575563989,10.7640857237559,7.93196080915818,9.68115420377943,11.6879865665942,12.5242272672248,0.374825725829876,1.74848858896348,0.438580439596409,1.64719204619412,0.0385112012102931,1.21831461172175,0.333341740546519,12.7024423203667,-0.054457839008008,-0.474356365548522,0.312739470623881,2.75986929090682,0.589858817056236,3.8763696092285,1.19117210234223,0.978392748194635,0.997719841088082,0.999761464930224,2.94800047287147,5.44725335248839,-4.86326835032218,3.3985290956095,2.57247078456094,0.552283527137271,0.432714574258519,0.502389125655728,0.685442247075603,0.319651290514541,1.04557519952533,0.362038901667916,0.949592133607473,-0.559646005784698,0.675490475670069,38.6763470293693,1.37047892559817,2.13498739222328,0.821561571125513,0.770315454543454,0.810763367621737,0.322598537649798,-0.454674372842142,0.0799670985563992,0.732941583042394,0.305718125926913,7.69748304723212,-0.0623802649143208,-0.0994844055237001,0.0265415018258097,0.855388943177941,0.0148846389848386,5.88579215174855,0.598408447583871,695.750452872339,711.504428786417,0.634463906757719,1.02654185128989,0.567324989034622,9.56877822684044,2.57247078456094,5.96847697786858,3.3985290956095,3.92757064738768,0.254859501372316,1.60896040341007,0.496238551432364,0.475690962207592,0.851908268940245,0.472939385378826,0.428723899070962,0.3053611704706,0.416624158780929,0.300682840635712,0.983529647527654,9.20183087722648,29.2192534551312,1.21985690893077,-0.0328788456345921,0.754101669797586,-0.0345336505873919
"40","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",0.00145633227948266,0.000780525152207096,0.230380771056921,2.24444232374011,0.782266093238057,0.662040544460298,0.87290589605501,1.120453557467,0.0769475192257359,1.02511406603259,0.221280198179098,7.35591596421861,2.36333127642831,6.23085278810052,13.5841615396024,14.1124067625994,0.472143091397735,1.82940378281521,0.644063949315423,1.34722410046861,0.333238915789741,10.4969992178476,1.21334175461807,17.9560421223253,-0.00789987964329696,-0.221768391237321,0.423873930839584,0.815330629368233,0.460925479173713,2.71006219499008,0.760872045065469,0.402395818799882,0.564733761800605,0.692638029072788,0.833720819407963,9.12834905130677,-2.37862234716473,1.70593193946761,1.19825310091912,0.305280888309051,0.502253774923136,0.0112830965016386,0.0756577861147621,0.00783881635692311,0.155027548600107,0.124379678224925,0.369213952969215,-0.45519893709293,0.084981287610307,2.17064717809523,0.47418440925577,1.28409500129641,0.746602187695801,0.0480005121403891,0.210077267773804,0.0720696949848685,0.0997935788094428,0.314923471335047,0.149133315697656,0.0505640218639033,2.02159384387895,-0.076260460687038,-0.0168749298540571,0.61996531172266,0.452471510952692,0.254040129728621,1.55606266321256,0.104883699146473,684.728857242578,714.457240272675,0.103998105007602,1.85422834369884,0.0483796784393139,1.53189320728055,1.19825310091912,1.3176900826639,1.70593193946761,1.17280021755411,0.853227486821652,1.12399872630694,0.502856705035627,0.84612929101793,0.521001064776334,0.0526133767738449,0.045050829113378,0.0254818313657096,0.170866122344989,0.0152920427304553,0.302429319637882,0.6603098994881,1.61314212904768,1.05496538140675,-0.0158071261350504,0.713431252858075,-0.0159539111164681
"31","bare rock","Bare Rock","Abiotic",7,58,"Murphy",6.12900086400068e-05,1.01152523955855e-05,0.419121526535898,1.63182603844261,1.00327423866273,1.03225716250375,1.00504454468917,1.00108268679215,0.201687955631688,1.00126964071139,-0.00366721743335241,15.4516881089121,0.98836836479741,1.19057612202875,4.9125732695129,4.95474069152344,0.4456112866021,1.47218851901367,1.0533332441174,0.925349854597023,-3.20013494992764,4.94360826758752,1.0406707478248,4.54686352210225,-0.000293490029675852,-0.418691900527268,2.18554308848122,0.961549905140486,-0.926064443603118,0.0383868549375065,0.0134991787585318,-0.0295405553004533,-0.044294725666948,-0.0590295987516813,0.97618142207537,4.75594652058853,-1.9689512293929,1.04396657943027,1.0013906270047,0.00482979208256363,1.29722800252142,-0.00140464939967999,0.110161999563728,-0.00163433113408018,-5.83568234424011,0.00105494044772923,-0.0487081193598634,-0.352454989063621,-0.00890412535269625,0.9071083393736,0.293677632670978,1.00211210904472,-0.373163389032061,-0.0219689479718101,-0.014773501357002,0.000333190630179889,0.0138121683855826,0.219777246082219,-0.012750761653227,0.00028005827556623,1.26396218546395,-0.0747118183684253,0.000273984482798148,-7.60934526653882,0.160304858115249,0.247731345031377,0.956869492643373,-0.00980383846628143,724.057435741423,483.60674482409,-0.0103519316116711,-9.76522901255784,-0.0421128007324921,0.970883155034604,1.0013906270047,1.00178098125403,1.04396657943027,1.00148827563885,0.997837739701419,1.00003175604013,0.671319177121514,0.833790532013783,0.63964363692122,0.0115539939130703,-0.00266899818512749,-0.00421534329849424,0.330595411720163,-0.00490327390259455,-17.5080486112434,2.84817987571222,-0.294214988290865,1.00047179284298,0.000331186090907465,-0.404254264389648,0.000331318867894704
"120","quartz","Quartz","Abiotic",25,58,"Murphy",0.000867869957945663,0.000205002206733567,1.24721958011433,1.65148693933831,0.980025562332325,0.957364741051773,0.989478167638888,1.00713479212023,0.559300200296905,0.999610128447429,0.0177819964033683,45.4324746059208,0.272355087167976,0.466538489238569,0.914820193666249,1.03922750633942,0.420916477440912,3.44100359660254,0.396936896151025,1.0092098267438,-0.206452569950243,1.76125449786061,1.11149993364903,1.80543768089624,-0.00068274086189013,-1.25426275307802,0.66153440729162,0.897693486037983,-0.693435570550598,0.181031055908272,-0.00923190936042967,0.0288959625575829,0.0433288679537432,0.0577437104651202,0.909344338390676,1.59376517987011,-2.02283027224866,1.14292391776702,1.0187945905025,0.0683087604882675,0.538707764763693,-0.00767055701914159,-0.472762678097801,-0.00654175169240772,-0.844393733580734,0.0224033646520298,0.0433580391084806,-0.0323752035979347,0.0175710714505788,1.09064632512685,0.310712833781377,1.04583355515346,0.91742274581699,-0.0682401571678302,0.0144509984703248,0.00752080426665099,0.0496078321005509,0.221502957358776,0.0162249631252718,0.0077472764567624,1.32464954819552,-0.0601025968834986,-0.00106874416161547,3.36128584268221,0.190469485323314,0.242792418973794,1.04178946602893,0.0177089315678821,694.667927597616,717.619899351107,0.0169337604740207,12.0318868260858,-0.0909539135386075,1.02932578379745,1.0187945905025,1.02321815836846,1.14292391776702,1.00970714895461,0.991537843100506,1.01163920082314,0.659805073995641,0.867808279307777,0.637327186112221,0.0292477758707303,0.0191808385886465,-0.0231873359105849,-1.42911486032708,-0.0200591621004726,-2.58918888623931,4.76725717827196,-1.41502312509994,1.00582742247487,-0.00215246266175416,0.306660054893576,-0.00215403613292012
"116","quartz","Quartz","Abiotic",25,58,"Murphy",0.000227450640606618,-0.000317805299095905,1.30115257334838,1.03449438280142,1.00454343503149,1.01319614344409,1.00598381323246,0.99684840778223,0.655171635131215,1.00006290003168,-0.00425628676187662,47.7219046112274,0.0301691120698917,0.0211056037741169,0.566593682786296,0.560715545959518,-0.688098116208141,-0.964545274511009,0.967803283765055,0.988604732281883,-0.549574510514109,1.52884294766852,0.997156569315581,1.50824169723998,-0.000204035881351761,-1.30177338116954,-1.75821539796106,1.00384834334296,-0.790866328777126,0.116777934713686,0.00206645068967027,-0.0076890963766605,-0.0115333604473316,-0.0153772836144362,1.00402477460419,1.53538111177341,-1.99427003412683,0.990903822233271,0.996787961283141,-0.00576503879384166,0.932884223746566,-0.00145560994103519,0.311966265159178,-0.0014028217149963,0.679469290756828,-0.115859644346148,-0.22995269141914,0.137658563624363,-0.00510986536299063,0.626078802829698,0.288197508113017,0.792340112068418,13.1255305872186,-0.00591537025004735,-0.00384460501454981,-0.00199869571324136,-0.00226910780466499,0.0132244963527606,-0.00466592097800216,-0.00206458442504998,1.00993986368838,-0.00232148161531331,9.88089146719797e-06,-0.452101066349106,0.00401762124906328,0.00262401415696324,0.989022298934584,-0.00515248683318058,629.100951091566,700.969329519002,-0.0048946125113482,-1.67436028651928,-0.010409891809867,0.992340238727499,0.996787961283141,0.995673284071487,0.990903822233271,0.99658151318032,1.00264287000617,0.995094253500937,0.97609733500285,0.980617173427478,0.973896216681764,0.0130660978514881,-0.0036742898656734,-0.00438974166765128,0.940809261097016,-0.00423958681786648,2.05348193390728,0.635143075126079,-0.194230262743513,0.996833354095784,0.000361249831077562,-0.834130368220107,0.000361009627311726
