"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","399.444","449.444","499.444","549.444","599.444","649.444","699.444","749.444","799.444","849.444"
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0744349267617622,0.0530295534060621,0.0634510087553966,0.110939471198446,0.150587271018477,0.199840594647026,0.30371726934466,0.434020543245116,0.475343336419871,0.497588205177443
"salsic_AK2018_02","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0480638786909274,0.0312731891152759,0.0444885379189148,0.0899961839492542,0.134206392013335,0.17932613793861,0.279467296532526,0.38932231173916,0.420595022820215,0.43611661828681
"salsic_AK2018_03","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0533017885281363,0.0372846785286069,0.0492257404324133,0.108887981394319,0.117964226041582,0.122394892502303,0.222971683344478,0.442862527605439,0.468325278560995,0.478531136061721
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0596705788770602,0.0393252478454689,0.0410990855836687,0.138602060000759,0.102736713569974,0.0649303801687464,0.176865386003625,0.471846131947638,0.481740521086416,0.483480029880373
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0755809127289211,0.0506312820741475,0.0576987764258116,0.0948691811350332,0.143128118187167,0.199096471436287,0.311227255442207,0.428344823048499,0.484140045329854,0.515206280652791
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0702412859114837,0.0504833974532876,0.0655650957631156,0.116936237666998,0.179211054006293,0.24921376576725,0.349488750252299,0.456241261751708,0.491926844241716,0.507705605409177
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0696119711410569,0.0599133556877668,0.0799431496545701,0.131955142354467,0.169537733675155,0.191252414726876,0.288300433632758,0.404404822091429,0.432893910184576,0.445451734178006
"salsic_AK2018_08","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0588522122212624,0.0378809935100838,0.036927593084246,0.107788070678122,0.0629935193305474,0.0415848825731701,0.109434518851773,0.490507166301148,0.499680421701197,0.497889895680027
"spbark_AK2018_01","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0983067871593777,0.0938210630983203,0.0973120165868328,0.113888942439918,0.130420996438914,0.140937275837019,0.161373341091168,0.182150651550676,0.199239449344414,0.216414654519626
"spbark_AK2018_02","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0734701410396688,0.0728306364912741,0.0759139178410946,0.0850277345989841,0.0957690869637308,0.103692160484413,0.120532483238262,0.139872940441092,0.157384072826346,0.174858212918951
"spbark_AK2018_03","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0965659191371974,0.0997039737506488,0.102376102513616,0.110214788997904,0.121856106857767,0.131589515971095,0.14579178813188,0.16292720578025,0.178767745867497,0.195096191113485
"spbark_AK2018_04","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0876929502290667,0.09029910865489,0.095666205715958,0.104158716333947,0.118001582190124,0.131483305105227,0.146590789984272,0.162735730767286,0.178027169422011,0.192956601400502
"spbark_AK2018_05","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0857772893733689,0.0833547310914163,0.0812105174001209,0.0822958482318884,0.0865345078303599,0.0897487851405449,0.0954513659117475,0.103495977924468,0.1111859820992,0.119873420798856
