"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","399.444","499.444","599.444","699.444","799.444"
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0744349267617622,0.0634510087553966,0.150587271018477,0.30371726934466,0.475343336419871
"salsic_AK2018_02","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0480638786909274,0.0444885379189148,0.134206392013335,0.279467296532526,0.420595022820215
"salsic_AK2018_03","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0533017885281363,0.0492257404324133,0.117964226041582,0.222971683344478,0.468325278560995
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0596705788770602,0.0410990855836687,0.102736713569974,0.176865386003625,0.481740521086416
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0755809127289211,0.0576987764258116,0.143128118187167,0.311227255442207,0.484140045329854
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0702412859114837,0.0655650957631156,0.179211054006293,0.349488750252299,0.491926844241716
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0696119711410569,0.0799431496545701,0.169537733675155,0.288300433632758,0.432893910184576
"salsic_AK2018_08","dead salix","Dead Salix","Abiotic_Litter",8,13,"AK2018",0.0588522122212624,0.036927593084246,0.0629935193305474,0.109434518851773,0.499680421701197
"spbark_AK2018_01","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0983067871593777,0.0973120165868328,0.130420996438914,0.161373341091168,0.199239449344414
"spbark_AK2018_02","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0734701410396688,0.0759139178410946,0.0957690869637308,0.120532483238262,0.157384072826346
"spbark_AK2018_03","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0965659191371974,0.102376102513616,0.121856106857767,0.14579178813188,0.178767745867497
"spbark_AK2018_04","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0876929502290667,0.095666205715958,0.118001582190124,0.146590789984272,0.178027169422011
"spbark_AK2018_05","spruce bark","Pices (bark)","Abiotic_Litter",5,13,"AK2018",0.0857772893733689,0.0812105174001209,0.0865345078303599,0.0954513659117475,0.1111859820992
"36","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.0591331494789557,0.0791806421916546,0.176506768201387,0.185828267514635,0.179980251321188
"37","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.105469826001407,0.141965043992346,0.218865854722455,0.219397344409782,0.22012153269104
"32","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.0806979387816808,0.103391247708035,0.217639077081914,0.221320825215269,0.213044550849749
"33","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.078107851225342,0.0882632976050295,0.178192326680646,0.19397347904377,0.212400239647694
"35","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.0638754607095622,0.0734724575038608,0.150317364091182,0.168922623983752,0.178567612324534
"31","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.126322169002401,0.157217894005506,0.216715922811344,0.210249328202115,0.20373690524967
"34","bare rock","Bare Rock","Abiotic_Rock",7,37,"Murphy",0.0704134721813994,0.0760174693815596,0.127252941124419,0.139523350651362,0.150698665005226
"95","gravel","Gravel","Abiotic_Rock",5,37,"Murphy",0.0817443792336709,0.101550447478967,0.123357274573291,0.130530300712511,0.145463193452118
"94","gravel","Gravel","Abiotic_Rock",5,37,"Murphy",0.058188073577154,0.0652495148455254,0.0973447656501932,0.108072971185375,0.121644067572728
"93","gravel","Gravel","Abiotic_Rock",5,37,"Murphy",0.0731323067790404,0.0877864041730175,0.119501703212079,0.126408595023739,0.138565074005341
"97","gravel","Gravel","Abiotic_Rock",5,37,"Murphy",0.0659115853134002,0.0725119782405496,0.0941661654788062,0.112672924800792,0.143026947954883
"96","gravel","Gravel","Abiotic_Rock",5,37,"Murphy",0.0607823138721924,0.0806424545529994,0.111274934921567,0.116772668157786,0.125690096665764
"121","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.414062357037548,0.53787236662086,0.655004455778059,0.657411326500633,0.662351615173712
"102","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.189145396509839,0.222736161084271,0.287123547798824,0.290832847115734,0.289072250623085
"205","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.513133898849056,0.594886682921632,0.644625544753051,0.635516400497846,0.633993286727215
"103","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.103743844375661,0.115537214001023,0.162684496997693,0.187663289510726,0.219738310826983
"204","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.509582314288895,0.543892139197541,0.55263322613924,0.552011298359698,0.558116765716465
"107","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.196376739196602,0.215928892690151,0.227232238057381,0.226003471117953,0.226054688607398
"111","quartz","Quartz","Abiotic_Rock",25,37,"Murphy",0.467860328080942,0.615938197321605,0.713337633701293,0.718212222090034,0.7256271704154
"38","bare_soil","Bare Soil","Abiotic_Soil",8,8,"Murphy",0.075651871481076,0.101817672727467,0.144294383425511,0.165073435450092,0.18586980022838
"39","bare_soil","Bare Soil","Abiotic_Soil",8,8,"Murphy",0.0999247044045337,0.143416318895042,0.19881063989263,0.212142248808652,0.220544598726607
