"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"42","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.093996,0.117591,0.152046,0.174089,0.173653,0.160581
"43","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.094856,0.112973,0.131664,0.15268,0.141416,0.127985
"44","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.106214,0.13024,0.160359,0.158287,0.125627,0.12327
"45","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.095413,0.127427,0.171402,0.191294,0.206325,0.197915
"10","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.043554,0.090045,0.080907,0.591563,0.317765,0.169589
"14","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.050693,0.073831,0.060704,0.779714,0.314384,0.15611
"arcsta_Beth002","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.050436,0.076134,0.063165,0.495839,0.251574,0.138627
"9","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.061902,0.080602,0.070481,0.76128,0.330964,0.17096
"12","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.047611,0.078182,0.08728,0.479179,0.221457,0.116202
"16","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.055154,0.117994,0.094184,0.675369,0.31837,0.175644
"11","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.037992,0.071446,0.078132,0.356693,0.259344,0.150234
"arcnig_Beth002","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.064912,0.088412,0.071144,0.561371,0.242091,0.133608
"7","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.056425,0.081341,0.087027,0.600775,0.32781,0.173156
"17","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.037686,0.06778,0.083952,0.234135,0.238992,0.138406
"15","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.064484,0.088187,0.081399,0.801468,0.336258,0.175373
"13","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.053114,0.082074,0.069962,0.55393,0.250951,0.128857
"arcsta_Beth001","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.055985,0.089006,0.071493,0.536001,0.290808,0.172692
"arcnig_Beth003","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.060171,0.086687,0.075982,0.567111,0.244777,0.130992
"arcnig_Beth004","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.059413,0.078702,0.069345,0.556016,0.230629,0.119843
"arcnig_Beth001","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.065801,0.08622,0.075137,0.560027,0.229588,0.12439
"arcsta_Beth003","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.050409,0.069899,0.067806,0.519894,0.249456,0.136901
"8","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.065625,0.112713,0.106905,0.716597,0.333518,0.19463
"arcsta_Beth004","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.043619,0.061822,0.052789,0.521893,0.247375,0.130102
"186","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.028046,0.062152,0.044479,0.42929,0.228181,0.125407
"73","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Wickersham B",0.061484,0.10711,0.073054,0.574919,0.272019,0.159967
"14","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Wickersham B",0.073549,0.150121,0.114276,0.622907,0.445783,0.301074
"62","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.043258,0.072629,0.06903,0.413372,0.204826,0.113971
"63","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Wickersham B",0.059131,0.093572,0.068969,0.66719,0.33341,0.199808
"54","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Wickersham B",0.071477,0.146546,0.112064,0.757505,0.410605,0.245837
"117","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.040356,0.061898,0.059629,0.514245,0.242299,0.14062
"159","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.136061,0.173338,0.165477,0.683888,0.319636,0.22402
"31","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.0337,0.05991,0.048603,0.399544,0.187861,0.101184
"13","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.05781,0.079458,0.062862,0.637502,0.34639,0.183982
"95","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.06579,0.089372,0.112145,0.399544,0.37504,0.262107
"82","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.044006,0.063946,0.052999,0.529465,0.261317,0.143302
"84","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.059871,0.079312,0.064916,0.701799,0.357409,0.198358
"41","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.037082,0.069827,0.064914,0.333214,0.158288,0.089359
"149","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.055332,0.096262,0.08648,0.690978,0.300495,0.168576
"143","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.090055,0.124787,0.117201,0.639366,0.277762,0.1717
"1","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.056452,0.073972,0.058737,0.747268,0.310561,0.162247
"40","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.049281,0.093274,0.096888,0.30981,0.153511,0.088984
"157","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub",272,971,992,"Big Trail",0.039034,0.052123,0.039792,0.577436,0.256149,0.144596
"232","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.101387,0.146534,0.117301,0.717186,0.442486,0.283444
"22","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.056026,0.073741,0.068544,0.534393,0.359688,0.217717
"211","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.074525,0.121944,0.103375,0.699822,0.452159,0.279862
"27","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.053406,0.065873,0.064208,0.350088,0.225997,0.141218
"197","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.075755,0.12261,0.117512,0.696511,0.555793,0.384391
"17","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Murphy B",0.105599,0.182658,0.152534,0.639446,0.329277,0.228594
"153","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.061467,0.083753,0.071419,0.690442,0.497121,0.296606
"461","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.081313,0.119575,0.127756,0.628199,0.431122,0.254075
"53","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.090373,0.118111,0.10996,0.728962,0.456056,0.28381
"15","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.076407,0.1084,0.100027,0.697816,0.41892,0.254873
"95","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Wickersham B",0.069246,0.131545,0.122968,0.730573,0.394109,0.225727
"359","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.101311,0.136215,0.127856,0.661541,0.337239,0.212689
"49","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Murphy B",0.118286,0.137515,0.119252,0.698157,0.367246,0.251696
"290","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.049371,0.073134,0.057886,0.579542,0.315176,0.178337
"247","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.046151,0.062102,0.060622,0.464094,0.209387,0.124257
"33","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Murphy B",0.104105,0.127978,0.10263,0.631334,0.315013,0.198594
"275","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.08409,0.120544,0.116722,0.658349,0.340614,0.215856
"253","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.041831,0.064843,0.060342,0.494273,0.240041,0.14069
"302","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub",612,971,992,"Big Trail",0.054106,0.071531,0.067743,0.529447,0.283896,0.172891
"79","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.077833,0.116782,0.084129,0.761342,0.447952,0.270992
"104","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.065341,0.12881,0.094115,0.74917,0.449379,0.275227
