"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.424797592594625,-0.696669561076721,0.0790020271546088,-0.653642934817374,0.238331086799787,0.31426955209689
"salsic_AK2018_02","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.416271477212054,-0.74151080267177,0.111112942278402,-0.687000854932544,0.270867400876213,0.27407094935301
"salsic_AK2018_03","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.565056137987533,-0.727900939290499,0.193596285762088,-0.621949039361467,0.398925185825199,0.425475379481529
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.702835767723548,-0.710045739696941,0.303517008259031,-0.518208298656521,0.562661113281537,0.585905203136137
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.429320532106025,-0.732681153344868,0.0521554701629055,-0.707564062210123,0.218070977049602,0.315498709954054
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.354079065241898,-0.701943797948453,0.117342120620848,-0.637076089119411,0.285174959453669,0.252816605562596
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.37221849926351,-0.616334297663413,0.0904136270781281,-0.55695711668665,0.22166580846368,0.268126559276772
"salsic_AK2018_08","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.819135418736544,-0.769832429978149,0.344571852051472,-0.578792599805258,0.606877272536964,0.741605890978086
"spbark_AK2018_01","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.156594238124501,-0.286459024086675,-0.327272921267992,-0.56112620555071,-0.226570166830226,0.0976084509758559
"spbark_AK2018_02","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.183025283207374,-0.289922998194652,-0.302579643096332,-0.544717416345832,-0.206259967024353,0.0940696685365201
"spbark_AK2018_03","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.137895296484982,-0.229125776013725,-0.340753130897238,-0.528607689469543,-0.280147988573034,0.0860237986581295
"spbark_AK2018_04","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.143878269345319,-0.25583451924899,-0.288727266605217,-0.507103849343758,-0.157928305910726,0.085131299489877
"spbark_AK2018_05","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.0917371436191219,-0.129069557745552,-0.406973634357797,-0.509291191747007,-0.384537987145348,0.0441919035945977
"37","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.00940252293838497,-0.156578211018129,0.0437156031184157,-0.113640466772801,0.0894745101116102,0.00653697584556628
"31","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",-0.0117374898079148,-0.0942464300992303,0.094852713341141,0.000611752017187011,0.124559690583177,-0.00887928759137492
"36","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.033293347756702,-0.333741160856853,-0.158804064923685,-0.467754493497888,-0.0396553826551561,0.0175032046039312
"32","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.00667356169106177,-0.270472436407224,0.154924117409776,-0.120601863108098,0.231799032261669,0.00391873590133202
"35","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.0708365538973779,-0.353951631697251,-0.0313083232486218,-0.38103743823915,0.0326116870011925,0.0367445568616928
"33","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.0901979123512861,-0.347509620670698,-0.0918433454859567,-0.425764089520466,0.00694858516477065,0.0527448610581848
"34","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.09877360108951,-0.311363484423051,-0.240898404620698,-0.513728660533568,-0.204252492368232,0.050694645841846
"94","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.103037102041924,-0.265052865310188,-0.143974499396186,-0.393992282881172,-0.11369418880214,0.0454134562435428
"93","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.0666443832081185,-0.174377802882476,-0.0493579551555837,-0.221826512380161,0.0210620700431957,0.0345345399778538
"96","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.0561218670395451,-0.171007948738366,-0.0688175567458041,-0.237035983256383,-0.0147626779324369,0.0266204297421035
"95","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.0749501945320912,-0.133236825035202,-0.0921523335139434,-0.222655377051623,-0.0488877676013558,0.0427397970688676
"97","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.161811438409552,-0.270786195783034,-0.312316529692404,-0.537634440540228,-0.253971789773587,0.0779847077152475
"109","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.0144434845373934,-0.0699988954809392,0.0713258817488843,0.0013336448002718,0.131958702655783,0.0272648556222822
"111","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.00688645381348247,-0.0553602178001803,0.123600770875552,0.0687107106199323,0.227449710731824,0.0139955214331415
