"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"pelmal_AK2018_01","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.180454,0.248108,0.297438,0.491973,0.67013,0.528335
"pelmal_AK2018_04","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.162463,0.199023,0.231596,0.599353,0.629407,0.471031
"99","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.056352,0.067258,0.081311,0.542486,0.362354,0.210635
"100","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.062563,0.079247,0.078264,0.72616,0.41016,0.235982
"101","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.061817,0.071132,0.075329,0.656281,0.38593,0.220403
"98","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.063425,0.078395,0.069581,0.599318,0.311786,0.175573
"97","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.044035,0.047879,0.083069,0.513166,0.36403,0.205307
"95","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.061475,0.070668,0.118896,0.624642,0.432206,0.261073
"96","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.048136,0.061576,0.087053,0.565142,0.330973,0.192764
"pelleu_AK2018_04","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.126115,0.166629,0.203511,0.439719,0.553576,0.454162
