"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"49","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.456446810382285,-0.633827834610704,-0.11118015857781,-0.695964047622003,0.112149228332865,0.286229089585187
"8","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.371893475431374,-0.532324855761781,0.304506051737539,-0.271891340903017,0.499567393030122,0.331080130445869
"48","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.359886269175546,-0.558201330223346,-0.199225719248136,-0.681624869108416,0.0324387414636071,0.235092521516775
"7","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.233949019568348,-0.418343042857928,0.321218101138196,-0.112202663604037,0.521350089944946,0.210381504685799
"11","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.321226264069157,-0.475218017510149,0.250901622142596,-0.254683007083704,0.432061771732892,0.333690519541767
"47","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.294901377826097,-0.395514268976483,-0.433600621110478,-0.707740729073037,-0.403401975967411,0.112884109808811
"10","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.730421146799447,-0.716134133222158,0.35004655967771,-0.488559914365653,0.551060345491414,0.86458813247293
"46","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.357035200949475,-0.459907459195607,-0.416698080625901,-0.735627924469862,-0.370214300859592,0.143785461525382
"13","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.405451564554864,-0.549637169056812,0.290311585050807,-0.308561523754077,0.490638303163951,0.309425681882714
"14","cetisl","Cetraria islandica","Lichen_Dark","Lichen","brown","lich_fr",0,14,173,464,"Murphy",0.273752785920914,-0.417514083411981,0.263171469886923,-0.173394858215298,0.453458781927825,0.263955871159623
"52","cetlae","Cetraria laevigata","Lichen_Dark","Lichen","brown","lich_fr",0,3,173,464,"Murphy",0.536822949772367,-0.709364962586804,-0.236942232304348,-0.810140055234371,-0.0585889091588282,0.30002997107845
"50","cetlae","Cetraria laevigata","Lichen_Dark","Lichen","brown","lich_fr",0,3,173,464,"Murphy",0.490732594460223,-0.607582443472336,-0.341564236776699,-0.786024290485879,-0.161732674582304,0.179666077788933
"51","cetlae","Cetraria laevigata","Lichen_Dark","Lichen","brown","lich_fr",0,3,173,464,"Murphy",0.556071334669121,-0.681278959278234,-0.309258186033034,-0.818158446276373,-0.0852254557083467,0.248904476165508
"17","clacor","Cladonia cornuta","Lichen_Dark","Lichen","gray","lich_fr",0,3,173,464,"Murphy",0.375260520933655,-0.505587495572296,0.200944205684133,-0.339093447184264,0.329677021102962,0.382655577759362
"19","clacor","Cladonia cornuta","Lichen_Dark","Lichen","gray","lich_fr",0,3,173,464,"Murphy",0.353077108403754,-0.526390535262451,0.0705783066325512,-0.473399863232536,0.195548994935952,0.353046679300749
"18","clacor","Cladonia cornuta","Lichen_Dark","Lichen","gray","lich_fr",0,3,173,464,"Murphy",0.402982064852582,-0.493650831514458,0.15134311846196,-0.369946671679595,0.274054920180072,0.45742595913433
"55","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Murphy",0.517911669028279,-0.667792298921147,-0.219103680761136,-0.7736925704441,-0.028525933053467,0.165453036950392
"56","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Murphy",0.426117157881864,-0.595759005544821,-0.0894172325260337,-0.650522191358171,0.107344847363763,0.173800184356806
"4","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.349756133852573,-0.304232230571243,0.302824288100695,-0.00155081760389379,0.456419461775648,0.528532392838804
"8","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.311596797755802,-0.278085532829441,0.309604138134103,0.0344878895307896,0.482325428333368,0.476395340863152
"1","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.286987874823143,-0.260216901212621,0.377535027309428,0.130099201043782,0.532589840406178,0.464805320884208
"60","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Murphy",0.544116761599692,-0.676560191420091,-0.0599857045983542,-0.707819780661088,0.117025215281619,0.192332577351886
"3","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.257083173999214,-0.238492012139377,0.368377357446279,0.142395511078268,0.527711730546176,0.42451445705284
