"Category","Raw","PCA","Smooth"
"005nm_equal05",0.453731343283582,0.322388059701493,0.423880597014925
"005nm_equal10",0.245833333333333,0.227083333333333,0.277083333333333
"005nm_equal15",0.232,0.202666666666667,0.234666666666667
"005nm_equal20",0.183333333333333,0.129166666666667,0.175
"005nm_more05",0.248756218905473,0.238253178551686,0.252625760088447
"005nm_more10",0.23026706231454,0.217210682492582,0.229673590504451
"005nm_more15",0.177179305457123,0.174344436569809,0.179305457122608
"005nm_more20",0.127426160337553,0.123206751054852,0.121518987341772
"010nm_equal05",0.417910447761194,0.319402985074627,0.441791044776119
"010nm_equal10",0.2875,0.25625,0.25625
"010nm_equal15",0.229333333333333,0.210666666666667,0.224
"010nm_equal20",0.225,0.175,0.175
"010nm_more05",0.25428413488115,0.242675511332228,0.250414593698176
"010nm_more10",0.22433234421365,0.229673590504451,0.229673590504451
"010nm_more15",0.180722891566265,0.171509567682495,0.177179305457123
"010nm_more20",0.128270042194093,0.124050632911392,0.126582278481013
"050nm_equal05",0.495522388059702,0.316417910447761,0.414925373134328
"050nm_equal10",0.25625,0.252083333333333,0.264583333333333
"050nm_equal15",0.218666666666667,0.226666666666667,0.229333333333333
"050nm_equal20",0.195833333333333,0.195833333333333,0.216666666666667
"050nm_more05",0.253731343283582,0.275843007186291,0.25428413488115
"050nm_more10",0.232640949554896,0.249851632047478,0.23026706231454
"050nm_more15",0.17859673990078,0.195605953224663,0.177888022678951
"050nm_more20",0.129113924050633,0.138396624472574,0.127426160337553
"100nm_equal05",0.438805970149254,0.361194029850746,0.405970149253731
"100nm_equal10",0.2875,0.2375,0.302083333333333
"100nm_equal15",0.242666666666667,0.242666666666667,0.232
"100nm_equal20",0.208333333333333,0.175,0.195833333333333
"100nm_more05",0.255942509673853,0.228302929795467,0.254836926478718
"100nm_more10",0.232047477744807,0.205341246290801,0.232640949554896
"100nm_more15",0.18781006378455,0.187101346562721,0.182849043231751
"100nm_more20",0.137552742616034,0.136708860759494,0.136708860759494
"allbands_equal05",0.441791044776119,0.319402985074627,0.471641791044776
"allbands_equal10",0.322916666666667,0.245833333333333,0.29375
"allbands_equal15",0.250666666666667,0.162666666666667,0.242666666666667
"allbands_equal20",0.154166666666667,0.15,0.175
"allbands_more05",0.253178551686014,0.238805970149254,0.248756218905473
"allbands_more10",0.230860534124629,0.223145400593472,0.227299703264095
"allbands_more15",0.180014174344437,0.177179305457123,0.179305457122608
"allbands_more20",0.127426160337553,0.121518987341772,0.128270042194093
