"","Functional_group1","Wavelength","Median_Diff","Pct_12_5_Diff","Pct_87_5_Diff"
"3087","ShrubDecid",474,0.013737662362974,-0.000516699075219,0.0184207097072115
"3088","ShrubDecid",475,0.0143980636376444,-0.000484848318000199,0.0189841229122192
"3089","ShrubDecid",476,0.0148309801120749,-0.000473842856329197,0.0198492825562657
"3090","ShrubDecid",477,0.0152737784651243,-0.0002993399035096,0.0202398362849759
"3091","ShrubDecid",478,0.0153051204425012,-0.000196536012347402,0.0207022184828795
"3092","ShrubDecid",479,0.0147529852425463,-0.000363705232115798,0.0201534389136804
"3093","ShrubDecid",480,0.0140060475192493,-0.000568550931217,0.0193797817326293
"3094","ShrubDecid",481,0.0136001111359616,-0.000602139387622401,0.0189432041314275
"3095","ShrubDecid",482,0.0131313156291484,-0.0006672461443584,0.0187023491392459
"3096","ShrubDecid",483,0.0126191716454718,-0.000755669531249399,0.0184845977889154
"3097","ShrubDecid",484,0.0124744180623984,-0.000818353240432501,0.0184004992922938
"3098","ShrubDecid",485,0.012003502742294,-0.0011022225735569,0.018063112300967
"3099","ShrubDecid",486,0.0114931386807164,-0.0012639539671573,0.0173324713027612
"3100","ShrubDecid",487,0.0111900400051226,-0.0012593772316554,0.0164220182349925
"3101","ShrubDecid",488,0.0107347232393502,-0.0015413601453988,0.015791629935076
"3102","ShrubDecid",489,0.0103339489922716,-0.0016125667035153,0.0155206929428208
"3103","ShrubDecid",490,0.0099959791333983,-0.0015952354850503,0.0155909141100172
"3104","ShrubDecid",491,0.0094441685997554,-0.0019934936854477,0.0151840035627434
"3105","ShrubDecid",492,0.0090332757800295,-0.0021422509287024,0.0147156942025637
"3106","ShrubDecid",493,0.0086125675150318,-0.0022818187256066,0.014508606024728
"3107","ShrubDecid",494,0.0084507413030651,-0.0025335092854897,0.0145832931085988
"3108","ShrubDecid",495,0.0082206032479446,-0.0027310994950403,0.0140988827976803
"3109","ShrubDecid",496,0.0079023723981303,-0.0030131826033729,0.0135950775592813
"3110","ShrubDecid",497,0.0076747399036712,-0.0033293225662747,0.0132842518077682
"3111","ShrubDecid",498,0.007467263883635,-0.0036058546056905,0.0127966291155484
"3112","ShrubDecid",499,0.0072667942154404,-0.0038959868787864,0.0126194673016362
"3113","ShrubDecid",500,0.0074507613810074,-0.0040351381655392,0.0130289947355808
"3114","ShrubDecid",501,0.007230006380877,-0.0040534656119512,0.0132697242531285
"3115","ShrubDecid",502,0.0070195553686043,-0.0044326294082165,0.0141837967474581
"3116","ShrubDecid",503,0.00663176741868299,-0.0045501858471521,0.0157725238609883
"3117","ShrubDecid",504,0.0066673071965818,-0.0046920614548936,0.0163018886490188
"3118","ShrubDecid",505,0.006885402942695,-0.0048075628512088,0.0167242345406003
"3119","ShrubDecid",506,0.0068634667505077,-0.004906630697359,0.0169977855249985
"3120","ShrubDecid",507,0.0074119203433947,-0.0050590479437358,0.016681602078569
"3121","ShrubDecid",508,0.0079237846955947,-0.0052811763174561,0.0156241744692187
"3122","ShrubDecid",509,0.0086886798814207,-0.0055775176743858,0.0153873213719337
"3123","ShrubDecid",510,0.0090416304530776,-0.0058616864698777,0.0168985923477995
"3124","ShrubDecid",511,0.0098968654406023,-0.0059392562910733,0.0176664648590896
"3125","ShrubDecid",512,0.0106764729286194,-0.0063795722373311,0.0195374452954023
"3126","ShrubDecid",513,0.0113228554910876,-0.006531477498615,0.0205107840631661
"3127","ShrubDecid",514,0.01228075713627,-0.0067279750871638,0.0209872622596898
"3128","ShrubDecid",515,0.013209520038845,-0.0068019085815814,0.0220395035387478
"3129","ShrubDecid",516,0.0139780777417543,-0.0066750053605419,0.0242299691743668
"3130","ShrubDecid",517,0.0147563925887998,-0.0065619363070142,0.0261251162600458
"3131","ShrubDecid",518,0.0162688862272332,-0.0066869485626491,0.0276834018625322
"3132","ShrubDecid",519,0.0180551009756391,-0.0066038216457664,0.0295628657928726
"3133","ShrubDecid",520,0.0199638497663079,-0.0062003705649551,0.0319285687448332
"3134","ShrubDecid",521,0.021632005168119,-0.0057584758463737,0.0354061494883494
"3135","ShrubDecid",522,0.0233074401227749,-0.0053365789825486,0.0380482554322193
"3136","ShrubDecid",523,0.0252500492077603,-0.0048206326996058,0.0402781629444482
"3137","ShrubDecid",524,0.0270287601208787,-0.0045309742945338,0.0424038103799603
"3138","ShrubDecid",525,0.0285000044254455,-0.003987218214677,0.0455775246984275
"3139","ShrubDecid",526,0.0298538262692593,-0.0034387355446361,0.0487940153242268
"3140","ShrubDecid",527,0.0313049294960011,-0.0029502601461382,0.0509960912762422
"3141","ShrubDecid",528,0.0328796406512571,-0.0023541813830817,0.052748323626122
"3142","ShrubDecid",529,0.0339269103120119,-0.0020028416358898,0.0547329833475993
"3143","ShrubDecid",530,0.0340255286542537,-0.0020921499326469,0.0566306807185837
"3144","ShrubDecid",531,0.0341576182771611,-0.0014541611928991,0.058546633526515
"3145","ShrubDecid",532,0.034319331908689,-0.001061085391128,0.0601513230485576
