CAT,ID
"LeafLitter",0
"Wood",1
"Rock",2
"Soil",3
"Equisetum",4
"Arenia",5
"Heracleum",6
"Hieracium",7
"Iris",8
"Lupinus",9
"Pedicularis",10
"Petasites",11
"Saxifraga",12
"Toefeldia",13
"Arctagrostis",14
"Arctophila",15
"Calamagrostis",16
"Dupontia",17
"Carex",18
"Eriophorum",19
"Bryoria",20
"Cetraria",21
"Masonhalea",22
"Melanelia",23
"Peltigera",24
"Porpidia",25
"Rhizocarpon",26
"Umbilicaria",27
"Icmadophila",28
"Pilophorus",29
"Stereocaulon",30
"Trapeliopsis",31
"Alectoria",32
"Arctocetraria",33
"Asahinea",34
"Cladonia",35
"Hypogymnia",36
"Parmelia",37
"Unknown",38
"Dactylina",39
"Evernia",40
"Flavocetraria",41
"Nephroma",42
"Parmeliopsis",43
"Usnea",44
"Vulpicida",45
"Aulacomnium",46
"Ceratadon",47
"Dicranum",48
"Plagiomnium",49
"Polytrichum",50
"Racomitrium",51
"Hylocomnium",52
"Pleurozium",53
"Rhytidium",54
"Tomenthypnum",55
"Sphagnum",56
"Alnus",57
"Betula",58
"Arctostaphyllos",59
"Rhus",60
"Rosa",61
"Rubus",62
"Vaccinium",63
"Salix",64
"Cassiope",65
"Dryas",66
"Empetrum",67
"Ledum",68
"Loisleuria",69
"Acer",70
"Fagus",71
"Prunus",72
"Quercus",73
"Populus",74
"Abies",75
"Larix",76
"Pinus",77
"Thuja",78
"Tsuga",79
"Picea",80
"nan",81
