"variable","importance"
"PRInorm",29.6151396216387
"SRPI",27.8526264370163
"NPCI",27.4688895117849
"PSND",22.3576111344287
"PSSR",21.3179999900197
"Carter3",21.0071972426233
"SR7",20.4544107774709
"mNDVI",17.2781903900726
"Vogelmann2",16.612567694635
"PRI",16.4708307779146
"Carter",16.3506920471924
"Datt5",16.1291825435909
"SIPI",15.8365703080473
"Datt4",15.7948106574045
"Vogelmann4",15.7224675215857
"OSAVI",15.4476591047566
"mND705",14.8115474670409
"SR8",14.6285583339485
"mSR705",14.5500618960194
"Carter4",14.4940906854222
"MTVI",14.1710753758723
"GI",13.6485040795362
"X657.593_5nm",13.358107946403
"Carter5",13.3270910080237
"Vogelmann",13.2561350768601
"Datt2",13.2364272891865
"GreenNDVI",12.9796959464967
"X442.593_5nm",12.7638389027236
"PARS",12.5930941452971
"X672.593_5nm",12.3903435076544
"RDVI",12.3811640929313
"X662.593_5nm",12.376620073374
"TGI",12.2434093411459
"SAVI",12.2061228138124
"DWSI4",12.108210434169
"X457.593_5nm",12.0218949869782
"MSAVI",12.019848200848
"X652.593_5nm",11.9480555873663
"X437.593_5nm",11.8484521873032
"X452.593_5nm",11.8218548608958
"X417.593_5nm",11.644215850583
"X447.593_5nm",11.6437625127033
"SR4",11.614446868791
"CRI2",11.5510879545775
"X432.593_5nm",11.5191391179087
"SPVI",11.5068987342482
"TVI",11.4410816853968
"X667.593_5nm",11.4393306764445
"X412.593_5nm",11.3540523498802
"GDVI4",11.3144864165666
"SR",11.0822260945496
"CRI1",11.0000641053463
"NDVI3",10.9820261231087
"X677.593_5nm",10.9481762050038
"GMI1",10.9175244438819
"GDVI2",10.9089500316694
"X407.593_5nm",10.9034850020439
"X427.593_5nm",10.7959903040111
"SR3",10.7621321956807
"X642.593_5nm",10.6794278598213
"X647.593_5nm",10.6498435196374
"X462.593_5nm",10.5208887657917
"NDVI",10.4983147671067
"X422.593_5nm",10.4420722229301
"MCARI2",10.2111324571207
"CI2",10.0973262686338
"PSRI",10.0823943012494
"GDVI3",10.0408953783044
"X467.593_5nm",9.99292638411769
"Carter2",9.97460554979333
"SR6",9.96844852329456
"SumDr2",9.78811479363788
"X637.593_5nm",9.76125095393397
"Gitelson2",9.67205532869046
"SR5",9.50598612617029
"PRICI2",9.41392932768565
"Vogelmann3",9.31161950420899
"mSR2",9.24214692973752
"mSR",9.04063074295992
"NDVI2",9.02280291962995
"X472.593_5nm",8.92490453500844
"CI",8.84697945310958
"X632.593_5nm",8.83393633076997
"X402.593_5nm",8.82564003125677
"X682.593_5nm",8.72395822573654
"OSAVI2",8.52767993994844
"D2",8.40121137270538
"EGFN",8.4008328913387
"D1",8.24648602390789
"SR1",8.22292487496892
"X482.593_5nm",8.1595695818424
"EGFR",8.15920435083603
"X477.593_5nm",8.08101211260685
"REPLE",8.07173970840638
"X687.593_5nm",7.98267519506918
"SR2",7.97087015256399
"GMI2",7.95965450005411
"MPRI",7.95773793547069
"X742.593_5nm",7.8769815774719
"X627.593_5nm",7.71922694917511
"MTCI",7.68933780650775
"Boochs2",7.67212779610112
"Boochs",7.4535130556433
"MCARI",7.28560773296466
"MCARI2OSAVI2",7.27462786352906
"X737.593_5nm",7.25914517873668
"DD",7.25226238162529
"X692.593_5nm",7.21345393145365
"X487.593_5nm",7.14470356192067
"X697.593_5nm",6.75424531036179
"X752.593_5nm",6.73683215715546
"Gitelson",6.68808547390371
"Maccioni",6.64653756862294
"X747.593_5nm",6.61661945253183
"X622.593_5nm",6.57126949203316
"X617.593_5nm",6.48179865998783
"REPLi",6.33164443048987
"X702.593_5nm",6.24053339079994
"X757.593_5nm",6.13777197928688
"X492.593_5nm",6.07138335517735
"X512.593_5nm",6.02379778265479
"CRI4",5.85538360351407
"X502.593_5nm",5.8497734302405
"X977.593_5nm",5.83506888985951
"X967.593_5nm",5.80691609693823
"X732.593_5nm",5.8021579275501
"X497.593_5nm",5.76218273207685
"ClAInt",5.75703312044588
"X972.593_5nm",5.70749120501939
"X887.593_5nm",5.6849645273323
"X612.593_5nm",5.68423094744834
"X507.593_5nm",5.63794850552389
"SumDr1",5.62529502354062
"X882.593_5nm",5.58306054187705
"X897.593_5nm",5.54403827299148
"X517.593_5nm",5.52067565529598
"X912.593_5nm",5.46506410247098
"X917.593_5nm",5.42471943888537
"X892.593_5nm",5.30457038653562
"Datt6",5.12121148703999
"X522.593_5nm",4.9861608859671
"X762.593_5nm",4.93791388549599
"X982.593_5nm",4.92687832556933
"DDn",4.82411930380601
"X962.593_5nm",4.81581688617979
"X907.593_5nm",4.7603631413776
"X527.593_5nm",4.69364092678894
"X532.593_5nm",4.61940586101465
"X872.593_5nm",4.50232948051794
"X902.593_5nm",4.49430600335817
"X727.593_5nm",4.46405581389761
"X867.593_5nm",4.42913219739351
"X767.593_5nm",4.41185775921664
"X707.593_5nm",4.36078971336626
"X772.593_5nm",4.345232593271
"X877.593_5nm",4.34349596397783
"X607.593_5nm",4.28874632421444
"TCARI",4.22345367357819
"Datt",4.17525426114246
"CRI3",4.1747564062829
"X602.593_5nm",4.0797685658605
"X957.593_5nm",4.07791914061783
"X777.593_5nm",3.99704585714788
"X932.593_5nm",3.99351557101759
"Datt3",3.89050155156115
"X537.593_5nm",3.88072534254029
"X597.593_5nm",3.81647231958231
"X862.593_5nm",3.80827969270015
"X782.593_5nm",3.75559652928265
"MCARIOSAVI",3.74884601850938
"X787.593_5nm",3.68088654832515
"X842.593_5nm",3.62990254312267
"X547.593_5nm",3.60821928536785
"X922.593_5nm",3.59989317222477
"X592.593_5nm",3.55246819089946
"X852.593_5nm",3.5477499777972
"X987.593_5nm",3.509758099526
"X542.593_5nm",3.48431094667526
"X807.593_5nm",3.481776218606
"X552.593_5nm",3.47632037029694
"X857.593_5nm",3.47194160194408
"X587.593_5nm",3.41448449479605
"X927.593_5nm",3.40469384837114
"Carter6",3.38301688554609
"X832.593_5nm",3.35752081060388
"TCARI2",3.34472047930293
"X847.593_5nm",3.34262818341344
"X952.593_5nm",3.33112752491095
"X802.593_5nm",3.30867951285876
"X797.593_5nm",3.26851623648503
"X562.593_5nm",3.26145003537991
"X792.593_5nm",3.24414066571907
"X992.593_5nm",3.23637532859642
"DPI",3.22135738360536
"X567.593_5nm",3.21048315536955
"X557.593_5nm",3.20973537146807
"X582.593_5nm",3.18618940231451
"X837.593_5nm",3.16835120771601
"X712.593_5nm",3.16515454382942
"X827.593_5nm",3.12854822853342
"CARI",3.09784748750406
"X717.593_5nm",3.09556928174413
"X822.593_5nm",3.08304506972698
"X722.593_5nm",3.02746014338092
"X817.593_5nm",3.00830094024318
"X812.593_5nm",2.98840964782658
"X572.593_5nm",2.92768244786514
"X577.593_5nm",2.89249939956801
"X937.593_5nm",2.55934885253826
"EVI",2.52284672265902
"X942.593_5nm",2.42907259654888
"X947.593_5nm",2.24334445156588
"TCARI2OSAVI2",2.10251001359533
"TCARIOSAVI",2.06113232251708
