"","Wavelength","Radiance"
"1",397.593,0.685676844386273
"2",399.444,0.67091551388892
"3",401.296,0.624646876300324
"4",403.148,0.601590190708643
"5",405,0.622326375454932
"6",406.851,0.600161137347697
"7",408.703,0.610878326642367
"8",410.555,0.632530368467861
"9",412.407,0.659529202684455
"10",414.258,0.688528181897407
"11",416.11,0.680511366754191
"12",417.962,0.721240929776734
"13",419.814,0.736758249616769
"14",421.666,0.737152538212559
"15",423.517,0.744547296617407
"16",425.369,0.7892993189115
"17",427.221,0.771546741038351
"18",429.073,0.75226671361552
"19",430.924,0.789268751298186
"20",432.776,0.780681794077862
"21",434.628,0.803693894691778
"22",436.48,0.770279822609441
"23",438.332,0.784962733343874
"24",440.183,0.764594832693823
"25",442.035,0.790628784035405
"26",443.887,0.764719182222933
"27",445.739,0.756104948241822
"28",447.59,0.765773339000212
"29",449.442,0.759341778013757
"30",451.294,0.757889233356154
"31",453.146,0.730267066666548
"32",454.998,0.71415825016493
"33",456.849,0.727867531207566
"34",458.701,0.707934175132016
"35",460.553,0.746960525702336
"36",462.405,0.71211052207008
"37",464.256,0.735219456164529
"38",466.108,0.719632336426158
"39",467.96,0.705314248890816
"40",469.812,0.699970632988521
"41",471.664,0.708513731779121
"42",473.515,0.708739623232633
"43",475.367,0.706102853479669
"44",477.219,0.712308771700853
"45",479.071,0.705398378690155
"46",480.922,0.702650223995792
"47",482.774,0.715662981751386
"48",484.626,0.714574192478718
"49",486.478,0.712120241783136
"50",488.33,0.709503067885275
"51",490.181,0.704405550448309
"52",492.033,0.705538962410612
"53",493.885,0.711459426623726
"54",495.737,0.701868063522586
"55",497.588,0.717082355156786
"56",499.44,0.699213566083775
"57",501.292,0.713476665875782
"58",503.144,0.708252568807147
"59",504.996,0.702307526389344
"60",506.847,0.709483574415634
"61",508.699,0.703422010292227
"62",510.551,0.692755647325166
"63",512.403,0.717506867455258
"64",514.254,0.703837621344695
"65",516.106,0.706082970358542
"66",517.958,0.743092717491143
"67",519.81,0.737060075608735
"68",521.662,0.724011312096004
"69",523.513,0.727824670480897
"70",525.365,0.736698033907998
"71",527.217,0.715706637409964
"72",529.069,0.726987571478618
"73",530.92,0.731429097941691
"74",532.772,0.725271909068449
"75",534.624,0.697955135753477
"76",536.476,0.725884574542926
"77",538.328,0.724963680720606
"78",540.179,0.717643147636942
"79",542.031,0.737326627425501
"80",543.883,0.716616261298924
"81",545.735,0.712302101054802
"82",547.586,0.733924226541155
"83",549.438,0.735065250008739
"84",551.29,0.7259450295874
"85",553.142,0.733924895315124
"86",554.994,0.734570809471529
"87",556.845,0.732494408155584
"88",558.697,0.731013829622651
"89",560.549,0.743481540318457
"90",562.401,0.732528795462395
"91",564.252,0.739142255541101
"92",566.104,0.718246477785571
"93",567.956,0.738756177081142
"94",569.808,0.724215014352479
"95",571.659,0.7505145325562
"96",573.511,0.740928711937829
"97",575.363,0.745785016739102
"98",577.215,0.733079858906497
"99",579.067,0.743824749809567
"100",580.918,0.732164712877807
"101",582.77,0.740519648607128
"102",584.622,0.757179871987912
"103",586.474,0.74145110091892
"104",588.325,0.740898813160996
"105",590.177,0.748611242840368
"106",592.029,0.746671539867025
"107",593.881,0.755300213310576
"108",595.733,0.747940730987627
"109",597.584,0.75423493495423
"110",599.436,0.76377022759963
"111",601.288,0.738405305048336
"112",603.14,0.755854419477783
"113",604.991,0.733610508956951
"114",606.843,0.748072458486278
"115",608.695,0.729056858894429
"116",610.547,0.766570570843241
"117",612.399,0.764754725939195
"118",614.25,0.762315408744869
"119",616.102,0.767361431410451
"120",617.954,0.745452602145356
"121",619.806,0.749670315741109
"122",621.657,0.753341426457074
"123",623.509,0.740523364560026
"124",625.361,0.755317590099402
"125",627.213,0.752193306035958
"126",629.065,0.754106998114419
"127",630.916,0.734510775084246
"128",632.768,0.767123883596467
"129",634.62,0.752923735328281
"130",636.472,0.746514672295964
"131",638.323,0.742651167651539
"132",640.175,0.752289138973092
"133",642.027,0.730777468004905
"134",643.879,0.781622524810177
"135",645.731,0.762808965834793
"136",647.582,0.770855168318478
"137",649.434,0.75104963603921
"138",651.286,0.779406462886209
"139",653.138,0.772844206666879
"140",654.989,0.754415348472551
"141",656.841,0.777811811454257
"142",658.693,0.772286935920767
"143",660.545,0.750711355833769
"144",662.397,0.783844312142181
"145",664.248,0.75201001232905
"146",666.1,0.768301307752253
"147",667.952,0.750920533525711
"148",669.804,0.767318899115111
"149",671.655,0.773550985862512
"150",673.507,0.794298579155147
"151",675.359,0.748161336992515
"152",677.211,0.757814158033798
"153",679.063,0.765908912967555
"154",680.914,0.752609919677352
"155",682.766,0.745013411969087
"156",684.618,0.726279815428192
"157",686.47,0.75333598000403
"158",688.321,0.766500672421209
"159",690.173,0.784301341822979
"160",692.025,0.762313547010341
"161",693.877,0.738631762884635
"162",695.729,0.763021697319537
"163",697.58,0.740024400458831
"164",699.432,0.761326232241621
"165",701.284,0.767577258914609
"166",703.136,0.755692517818388
"167",704.987,0.754823299923664
"168",706.839,0.758299073113665
"169",708.691,0.764195509056187
"170",710.543,0.759778392584372
"171",712.395,0.77995852965971
"172",714.246,0.758510826509337
"173",716.098,0.720646681124011
"174",717.95,0.775934743356123
"175",719.802,0.726111576221056
"176",721.653,0.762651466161662
"177",723.505,0.747802712564633
"178",725.357,0.732483487729263
"179",727.209,0.774803015159897
"180",729.061,0.772803935676695
"181",730.912,0.756244115274112
"182",732.764,0.732533411545488
"183",734.616,0.769435660340306
"184",736.468,0.714184904305428
"185",738.319,0.778806961584592
