"","Functional_group1","Functional_group1_wN","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance","Source"
"43","Abiotic","Abiotic (n= 94 scans, 5 species)",1042,29.05295,73.0793,12.7885,65.4660625,16.39235,68.6454,14.54308,"Ground"
"44","Abiotic","Abiotic (n= 94 scans, 5 species)",1043,29.08315,73.0844,12.8082,65.478525,16.408975,68.6455,14.55907,"Ground"
"45","Abiotic","Abiotic (n= 94 scans, 5 species)",1044,29.1142,73.0905,12.8296,65.4914,16.4264375,68.6454,14.57608,"Ground"
"46","Abiotic","Abiotic (n= 94 scans, 5 species)",1045,29.14555,73.0963,12.8504,65.5038,16.444025,68.6449,14.59303,"Ground"
"47","Abiotic","Abiotic (n= 94 scans, 5 species)",1046,29.1769,73.1005,12.8681,65.5149,16.461225,68.6441,14.609035,"Ground"
"48","Abiotic","Abiotic (n= 94 scans, 5 species)",1047,29.2082,73.1032,12.8827,65.5243125,16.47805,68.6425,14.62397,"Ground"
"49","Abiotic","Abiotic (n= 94 scans, 5 species)",1048,29.23965,73.1051,12.8957,65.5330125,16.4948125,68.6407,14.638505,"Ground"
"50","Abiotic","Abiotic (n= 94 scans, 5 species)",1049,29.27135,73.107,12.908,65.541825,16.5117875,68.6393,14.653065,"Ground"
"51","Abiotic","Abiotic (n= 94 scans, 5 species)",1050,29.3032,73.1097,12.9204,65.5517875,16.5293375,68.639,14.668215,"Ground"
"52","Abiotic","Abiotic (n= 94 scans, 5 species)",1051,29.3346,73.1132,12.9316,65.5630125,16.5468625,68.6396,14.68306,"Ground"
"53","Abiotic","Abiotic (n= 94 scans, 5 species)",1052,29.36635,73.1169,12.9427,65.5745875,16.5648,68.6409,14.698295,"Ground"
"54","Abiotic","Abiotic (n= 94 scans, 5 species)",1053,29.3995,73.1201,12.9552,65.585625,16.583775,68.6427,14.71492,"Ground"
"55","Abiotic","Abiotic (n= 94 scans, 5 species)",1054,29.43515,73.122,12.9708,65.59505,16.6046625,68.6447,14.73393,"Ground"
"56","Abiotic","Abiotic (n= 94 scans, 5 species)",1055,29.4741,73.1227,12.9896,65.6023125,16.6280375,68.6474,14.755495,"Ground"
"57","Abiotic","Abiotic (n= 94 scans, 5 species)",1056,29.5141,73.1228,13.0097,65.6092375,16.6522625,68.6504,14.778315,"Ground"
"58","Abiotic","Abiotic (n= 94 scans, 5 species)",1057,29.55275,73.1233,13.0295,65.6175875,16.6752875,68.6531,14.800825,"Ground"
"59","Abiotic","Abiotic (n= 94 scans, 5 species)",1058,29.58785,73.1249,13.0474,65.6294375,16.6955,68.6551,14.82169,"Ground"
"60","Abiotic","Abiotic (n= 94 scans, 5 species)",1059,29.6198,73.1276,13.0641,65.6447875,16.7135,68.6571,14.84174,"Ground"
"61","Abiotic","Abiotic (n= 94 scans, 5 species)",1060,29.6509,73.1305,13.0805,65.6609875,16.7304625,68.6585,14.86135,"Ground"
"62","Abiotic","Abiotic (n= 94 scans, 5 species)",1061,29.6831,73.1321,13.0973,65.6752125,16.74775,68.6588,14.880835,"Ground"
"63","Abiotic","Abiotic (n= 94 scans, 5 species)",1062,29.7282,73.1314,13.1149,65.684925,16.766125,68.6568,14.90014,"Ground"
"64","Abiotic","Abiotic (n= 94 scans, 5 species)",1063,29.77465,73.1283,13.1329,65.691075,16.784975,68.6523,14.918965,"Ground"
"65","Abiotic","Abiotic (n= 94 scans, 5 species)",1064,29.82185,73.125,13.1513,65.6963125,16.7915875,68.6477,14.93789,"Ground"
"66","Abiotic","Abiotic (n= 94 scans, 5 species)",1065,29.8693,73.1235,13.1698,65.7033875,16.7950125,68.6453,14.957405,"Ground"
"67","Abiotic","Abiotic (n= 94 scans, 5 species)",1066,29.9169,73.126,13.1887,65.714175,16.798625,68.6473,14.97813,"Ground"
"68","Abiotic","Abiotic (n= 94 scans, 5 species)",1067,29.9652,73.1315,13.208,65.7274,16.8026,68.6527,14.99981,"Ground"
"69","Abiotic","Abiotic (n= 94 scans, 5 species)",1068,30.0133,73.1373,13.2272,65.741325,16.806475,68.6587,15.02178,"Ground"
"70","Abiotic","Abiotic (n= 94 scans, 5 species)",1069,30.06045,73.1404,13.2459,65.7542,16.8096375,68.6628,15.043545,"Ground"
"71","Abiotic","Abiotic (n= 94 scans, 5 species)",1070,30.1064,73.1403,13.2638,65.765975,16.811775,68.6646,15.064905,"Ground"
"72","Abiotic","Abiotic (n= 94 scans, 5 species)",1071,30.15165,73.1382,13.2812,65.7772875,16.8131625,68.6652,15.08609,"Ground"
"73","Abiotic","Abiotic (n= 94 scans, 5 species)",1072,30.1961,73.1347,13.2984,65.7877375,16.8143125,68.6645,15.107405,"Ground"
"74","Abiotic","Abiotic (n= 94 scans, 5 species)",1073,30.23985,73.1302,13.3158,65.796925,16.8156,68.6623,15.129015,"Ground"
"75","Abiotic","Abiotic (n= 94 scans, 5 species)",1074,30.2825,73.1239,13.3335,65.8042125,16.817125,68.6576,15.1506,"Ground"
"76","Abiotic","Abiotic (n= 94 scans, 5 species)",1075,30.3243,73.1162,13.3513,65.8101625,16.8186,68.6512,15.17235,"Ground"
"77","Abiotic","Abiotic (n= 94 scans, 5 species)",1076,30.36585,73.1084,13.3689,65.8158875,16.820175,68.6446,15.194655,"Ground"
"78","Abiotic","Abiotic (n= 94 scans, 5 species)",1077,30.40765,73.102,13.3861,65.82245,16.8277375,68.6393,15.2181,"Ground"
"79","Abiotic","Abiotic (n= 94 scans, 5 species)",1078,30.4491,73.0977,13.4029,65.83055,16.8426125,68.6347,15.24328,"Ground"
"80","Abiotic","Abiotic (n= 94 scans, 5 species)",1079,30.49045,73.0942,13.4193,65.839125,16.857575,68.6307,15.26944,"Ground"
"81","Abiotic","Abiotic (n= 94 scans, 5 species)",1080,30.5327,73.0901,13.4357,65.8467,16.87275,68.628,15.295365,"Ground"
"82","Abiotic","Abiotic (n= 94 scans, 5 species)",1081,30.57665,73.084,13.4523,65.8522,16.8884375,68.6272,15.320105,"Ground"
"83","Abiotic","Abiotic (n= 94 scans, 5 species)",1082,30.6242,73.0767,13.4694,65.855225,16.90505,68.6281,15.344235,"Ground"
"84","Abiotic","Abiotic (n= 94 scans, 5 species)",1083,30.67295,73.0681,13.4865,65.8568125,16.92205,68.6306,15.36777,"Ground"
"85","Abiotic","Abiotic (n= 94 scans, 5 species)",1084,30.7193,73.058,13.5032,65.8580125,16.9382,68.6349,15.37709,"Ground"
"86","Abiotic","Abiotic (n= 94 scans, 5 species)",1085,30.75975,73.0459,13.5189,65.8598875,16.9521625,68.6415,15.37849,"Ground"
"87","Abiotic","Abiotic (n= 94 scans, 5 species)",1086,30.7923,73.0317,13.5329,65.862425,16.9627625,68.6532,15.375245,"Ground"
"88","Abiotic","Abiotic (n= 94 scans, 5 species)",1087,30.8222,73.0159,13.5467,65.8647125,16.972625,68.6661,15.37033,"Ground"
"89","Abiotic","Abiotic (n= 94 scans, 5 species)",1088,30.85585,72.9989,13.5619,65.8658625,16.98465,68.6747,15.36763,"Ground"
"90","Abiotic","Abiotic (n= 94 scans, 5 species)",1089,30.8981,72.9805,13.5802,65.86435,17.001175,68.6743,15.37009,"Ground"
"91","Abiotic","Abiotic (n= 94 scans, 5 species)",1090,30.946,72.9594,13.6008,65.8596625,17.0209875,68.666,15.375775,"Ground"
"92","Abiotic","Abiotic (n= 94 scans, 5 species)",1091,30.998,72.9382,13.6229,65.8546,17.0431,68.6543,15.38397,"Ground"
"93","Abiotic","Abiotic (n= 94 scans, 5 species)",1092,31.05315,72.9199,13.6458,65.8524375,17.0667125,68.6437,15.394095,"Ground"
"94","Abiotic","Abiotic (n= 94 scans, 5 species)",1093,31.1119,72.9072,13.6693,65.85575,17.0919625,68.6369,15.40641,"Ground"
"95","Abiotic","Abiotic (n= 94 scans, 5 species)",1094,31.1763,72.899,13.6943,65.8635,17.11985,68.6314,15.42206,"Ground"
"96","Abiotic","Abiotic (n= 94 scans, 5 species)",1095,31.2419,72.8928,13.7195,65.873025,17.148325,68.627,15.438635,"Ground"
"97","Abiotic","Abiotic (n= 94 scans, 5 species)",1096,31.3037,72.886,13.7436,65.88155,17.1751375,68.6243,15.45382,"Ground"
"98","Abiotic","Abiotic (n= 94 scans, 5 species)",1097,31.35855,72.8772,13.7658,65.887875,17.1985625,68.624,15.466235,"Ground"
"99","Abiotic","Abiotic (n= 94 scans, 5 species)",1098,31.40885,72.868,13.7866,65.893625,17.2196625,68.6263,15.477245,"Ground"
"100","Abiotic","Abiotic (n= 94 scans, 5 species)",1099,31.45725,72.8584,13.8069,65.8984875,17.2401625,68.629,15.490685,"Ground"
"101","Abiotic","Abiotic (n= 94 scans, 5 species)",1100,31.5062,72.8487,13.8275,65.9023375,17.261575,68.6298,15.50431,"Ground"
"102","Abiotic","Abiotic (n= 94 scans, 5 species)",1101,31.5574,72.8404,13.8491,65.9047,17.2849,68.6283,15.517155,"Ground"
"103","Abiotic","Abiotic (n= 94 scans, 5 species)",1102,31.60935,72.8334,13.8711,65.90685,17.331,68.6257,15.529205,"Ground"
"104","Abiotic","Abiotic (n= 94 scans, 5 species)",1103,31.66045,72.824,13.893,65.9069875,17.3883,68.6212,15.5401,"Ground"
"105","Abiotic","Abiotic (n= 94 scans, 5 species)",1104,31.70905,72.8084,13.9144,65.9032625,17.4451,68.6141,15.549445,"Ground"
"106","Abiotic","Abiotic (n= 94 scans, 5 species)",1105,31.7548,72.7846,13.9356,65.8940125,17.5014,68.6032,15.557,"Ground"
"107","Abiotic","Abiotic (n= 94 scans, 5 species)",1106,31.7985,72.7548,13.9566,65.880675,17.5576,68.5892,15.562945,"Ground"
"108","Abiotic","Abiotic (n= 94 scans, 5 species)",1107,31.8401,72.7221,13.9765,65.865775,17.598,68.5743,15.567715,"Ground"
"109","Abiotic","Abiotic (n= 94 scans, 5 species)",1108,31.8796,72.6893,13.9943,65.8514875,17.6001,68.5605,15.571745,"Ground"
"110","Abiotic","Abiotic (n= 94 scans, 5 species)",1109,31.91565,72.6535,14.009,65.8359625,17.6016,68.5463,15.57413,"Ground"
"111","Abiotic","Abiotic (n= 94 scans, 5 species)",1110,31.94935,72.6159,14.022,65.8197625,17.6027,68.5322,15.57544,"Ground"
"112","Abiotic","Abiotic (n= 94 scans, 5 species)",1111,31.98315,72.5814,14.0349,65.8060625,17.6047,68.5203,15.577115,"Ground"
"113","Abiotic","Abiotic (n= 94 scans, 5 species)",1112,32.01925,72.5547,14.0493,65.7977125,17.6086,68.5131,15.58036,"Ground"
"114","Abiotic","Abiotic (n= 94 scans, 5 species)",1113,32.05675,72.5372,14.0643,65.7959375,17.6145,68.5121,15.583335,"Ground"
"115","Abiotic","Abiotic (n= 94 scans, 5 species)",1114,32.0953,72.5247,14.0799,65.7978,17.6218,68.5144,15.58497,"Ground"
"116","Abiotic","Abiotic (n= 94 scans, 5 species)",1115,32.1351,72.5126,14.0968,65.7998125,17.63,68.516,15.58732,"Ground"
"117","Abiotic","Abiotic (n= 94 scans, 5 species)",1116,32.1764,72.497,14.1157,65.799,17.6388,68.5134,15.5906,"Ground"
