Site,Date,Spectra_Name,Target_Type,SampleID,Dominant_Species,Measurement_Time_UTC,Latitude,Longitude,Instrument_Manufacturer,Instrument_Model,Instrument_Serial_Number,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Seward_Kougarok,20190704,BNL12979,Vegetation,BNL12979,ALVI5,21:59:28,65.16432963,-164.8239481,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190704,BNL12980,Vegetation,BNL12980,ALVI5,23:37:17,65.16483528,-164.8231103,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190704,BNL12981,Vegetation,BNL12981,EMNI,22:53:37,65.164284,-164.824784,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190704,BNL12983,Vegetation,BNL12983,BEGL,22:41:57,65.16416306,-164.8242397,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190704,BNL12986,Vegetation,BNL12986,BENA,22:29:49,65.164238,-164.8237327,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190704,BNL12987,Vegetation,BNL12987,BEGL,22:35:54,65.16418738,-164.8236993,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12956,Vegetation,BNL12956,ALVI5,21:26:29,65.15749019,-164.8250406,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12957,Vegetation,BNL12957,ALVI5,21:32:47,65.15753,-164.8251077,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12958,Vegetation,BNL12958,ALVI5,21:37:52,65.15760667,-164.8250781,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12959,Vegetation,BNL12959,ALVI5,21:42:41,65.15758929,-164.8250179,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12960,Vegetation,BNL12960,ALVI5,22:31:56,65.16179056,-164.8315863,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12961,Vegetation,BNL12961,ALVI5,22:22:32,65.161813,-164.8316242,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12962,Vegetation,BNL12962,ALVI5,22:47:53,65.16177857,-164.831444,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12963,Vegetation,BNL12963,ALVI5,22:40:48,65.16183375,-164.8314754,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12964,Vegetation,BNL12964,BENA,23:03:31,65.16161083,-164.8307713,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12965,Vegetation,BNL12965,ARALA7,23:08:46,65.1615425,-164.8305392,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12966,Vegetation,BNL12966,EMNI,23:13:05,65.16163208,-164.8307213,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12967,Vegetation,BNL12967,DROCA2,23:18:48,65.16136833,-164.8299667,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12968,Vegetation,BNL12968,ARALA7,23:23:26,65.1612125,-164.8295596,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12969,Vegetation,BNL12969,BEGL,23:28:05,65.16108167,-164.8289142,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12982,Vegetation,BNL12982,ALVI5,19:56:33,65.15859148,-164.8224185,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12984,Vegetation,BNL12984,ALVI5,20:06:45,65.15862333,-164.822354,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12985,Vegetation,BNL12985,ALVI5,20:15:26,65.1585819,-164.8221643,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL12988,Vegetation,BNL12988,ALVI5,20:22:34,65.15866361,-164.8221044,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL13055,Vegetation,BNL13055,EMNI,0:17:54,65.16325042,-164.8270879,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL13071,Vegetation,BNL13071,SAPU15,0:05:55,65.16303042,-164.8273171,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL13072,Vegetation,BNL13072,DROCA2,0:09:58,65.162945,-164.826705,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL13101,Vegetation,BNL13101,ARALA7,0:14:10,65.16323167,-164.8270154,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190705,BNL13500,Vegetation,BNL13500,SAPH,23:41:56,65.16159167,-164.8288917,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13048,Vegetation,BNL13048,RUCH,22:57:07,65.162165,-164.8092161,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13049,Vegetation,BNL13049,ALVI5,21:28:44,65.16601217,-164.8182338,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13051,Vegetation,BNL13051,ALVI5,21:24:16,65.16600574,-164.8181494,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13052,Vegetation,BNL13052,ALVI5,21:15:56,65.16611438,-164.8181723,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13053,Vegetation,BNL13053,ALVI5,21:20:33,65.16607833,-164.8181531,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13401,Vegetation,BNL13401,ALVI5,23:57:49,65.1620295,-164.8146215,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13402,Vegetation,BNL13402,ALVI5,23:45:29,65.16191519,-164.8143822,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13403,Vegetation,BNL13403,ALVI5,23:50:42,65.16185333,-164.8144248,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13404,Vegetation,BNL13404,ALVI5,23:54:17,65.161969,-164.8143733,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13405,Vegetation,BNL13405,PEFR5,23:16:58,65.162,-164.8108633,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13406,Vegetation,BNL13406,ALVI5,23:08:34,65.16218667,-164.8094467,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
