Site,Date,Spectra_Name,Target_Type,SampleID,Dominant_Species,Measurement_Time_UTC,Latitude,Longitude,Instrument_Manufacturer,Instrument_Model,Instrument_Serial_Number,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Seward_Kougarok,20190706,BNL13407,Vegetation,BNL13407,ERVA4,23:05:24,65.162175,-164.8092772,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13408,Vegetation,BNL13408,ALVI5,21:56:16,65.16527,-164.8203067,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13409,Vegetation,BNL13409,SAGL,21:50:11,65.16570958,-164.8191833,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13410,Vegetation,BNL13410,LEDUM,21:33:58,65.16600333,-164.81854,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13411,Vegetation,BNL13411,ERVA4,21:37:13,65.16602,-164.8187917,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13412,Vegetation,BNL13412,SAPU15,21:42:31,65.16579,-164.8190658,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13413,Vegetation,BNL13413,RUCH,21:47:02,65.165695,-164.819125,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13414,Vegetation,BNL13414,SAPU15,20:53:56,65.16598667,-164.818325,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13415,Vegetation,BNL13415,ALVI5,20:49:39,65.16594833,-164.8180983,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13416,Vegetation,BNL13416,RUCH,20:46:22,65.165905,-164.8180717,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
