source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
bison_gulch_stratified.csv,no_treatment,standard,balanced,1,0.25,0.283333333333333,0.0145615177226755,4.51925035828048e-17,1a0aad47-cea2-49bc-9ddb-8d688b2d5639
bison_gulch_stratified.csv,no_treatment,standard,balanced,2,0.288135593220339,0.283333333333333,0.0145615177226755,4.51925035828048e-17,d4ce9a63-4eaa-4f85-b03d-bf6efa583a26
bison_gulch_stratified.csv,no_treatment,standard,balanced,4,0.284090909090909,0.325,0.00422050059414759,2.27525228263591e-13,548a3751-eb92-4fe2-a6f4-1f0530cf7c33
bison_gulch_stratified.csv,no_treatment,standard,balanced,6,0.252427184466019,0.375,0.00410622661848207,1.56827006004618e-12,41cfce7b-9555-4dce-9c99-f9742c0ffd5b
bison_gulch_stratified.csv,no_treatment,standard,balanced,8,0.266666666666667,0.425,0.00275406645659588,1.60905644819912e-11,1cfbdb43-8719-4467-b1e4-0dd19ce484c8
bison_gulch_stratified.csv,no_treatment,standard,balanced,10,0.216981132075472,0.425,0.00357485767526444,6.42665827359937e-11,3a339824-7968-405e-84b0-cf8078363158
bison_gulch_stratified.csv,no_treatment,standard,balanced,12,0.160377358490566,0.425,0.00291879883389774,1.89452746528554e-11,9e6446f5-ec09-4169-8b5c-d5cee9239c14
bison_gulch_stratified.csv,no_treatment,standard,balanced,14,0.175925925925926,0.425,0.00328896374816238,6.78080062510105e-12,047c41e4-d853-4b9f-9c74-b4e6c1af62f6
bison_gulch_stratified.csv,no_treatment,standard,balanced,16,0.157407407407407,0.425,0.00318146733155322,8.48746699861311e-07,25a69eb4-f791-4e06-b044-0969b8e9a140
bison_gulch_stratified.csv,no_treatment,standard,balanced,18,0.157407407407407,0.441666666666667,0.00512257997592097,9.93733188191863e-10,6ae97bfd-80ec-4e42-9da7-fcb5142ec698
bison_gulch_stratified.csv,no_treatment,standard,balanced,20,0.138888888888889,0.416666666666667,0.00705058314109469,1.26190536950015e-09,61626b8b-ff9a-4963-a47c-c76551ccbe69
bison_gulch_stratified.csv,no_treatment,standard,balanced,24,0.166666666666667,0.433333333333333,0.00794281470009237,0.000101334894973601,fb4eeea7-ec0d-4e86-959a-910d53a4cad1
bison_gulch_stratified.csv,no_treatment,standard,balanced,32,0.12962962962963,0.408333333333333,0.00668182798197269,1.22790836462461e-10,41db3ac1-6574-4d01-b6c7-67d1e3101767
bison_gulch_stratified.csv,no_treatment,standard,balanced,50,0.12962962962963,0.416666666666667,0.00808094002584761,1.09113900513033e-15,6bf713ce-59db-439d-9aaa-39b172deb0b3
bison_gulch_stratified.csv,no_treatment,standard,balanced,64,0.111111111111111,0.408333333333333,0.00970280173303197,1.11440132299465e-11,fb6c1991-0e03-4575-bc97-57668e07302a
bison_gulch_stratified.csv,no_treatment,standard,balanced,100,0.12037037037037,0.433333333333333,0.0127451374800237,1.11422776575029e-11,ece03ecf-a8bf-40ec-89ff-312110347b9a
bison_gulch_stratified.csv,no_treatment,standard,balanced,128,0.12962962962963,0.433333333333333,0.0103046532265247,1.34174942968915e-14,82294fe7-0bfb-42c7-a223-e0175204e231
bison_gulch_stratified.csv,no_treatment,standard,balanced,256,0.12037037037037,0.425,0.00933484213096695,4.75214582554419e-15,7fafa804-2086-4eda-99b3-c947a1f03954
bison_gulch_stratified.csv,no_treatment,standard,balanced,512,0.12962962962963,0.416666666666667,0.0111271766009124,1.17493993699638e-13,7ce71603-8d7a-4ca8-a55d-f759e767042b
bison_gulch_stratified.csv,no_treatment,standard,balanced,1024,0.12962962962963,0.416666666666667,0.0112643158975732,3.2289242151824e-12,3182ca32-1bb8-4b2b-9a2c-f68a9680e9c4
bison_gulch_stratified.csv,no_treatment,robust,balanced,1,0.25,0.225,0.00458522560516091,3.39251645554565e-08,de880be6-d5a7-4460-a8b9-b84870a56d14
bison_gulch_stratified.csv,no_treatment,robust,balanced,2,0.288135593220339,0.225,0.00458522560516091,3.39251645554565e-08,43a643f6-bba7-4686-8f55-d11973d9a9dd
bison_gulch_stratified.csv,no_treatment,robust,balanced,4,0.284090909090909,0.3,0.00538551872285442,4.34987978613775e-10,1ff37d91-b853-453c-b592-af6362c86ece
bison_gulch_stratified.csv,no_treatment,robust,balanced,6,0.252427184466019,0.358333333333333,0.00633063692415505,0.000539141118245308,a5785cce-462a-495a-a2c9-6a0df4085776
bison_gulch_stratified.csv,no_treatment,robust,balanced,8,0.266666666666667,0.391666666666667,0.00775280214776793,0.00122660391441599,fef25937-5b93-4719-805d-5a4fd431a261
bison_gulch_stratified.csv,no_treatment,robust,balanced,10,0.216981132075472,0.366666666666667,0.00774990214493293,0.0125779336141587,0fbefe18-fdd5-4a8f-b77b-58caf4138b17
bison_gulch_stratified.csv,no_treatment,robust,balanced,12,0.160377358490566,0.366666666666667,0.00891101790086577,0.00360498990834702,79d0a8f1-b5a7-4256-ab6e-454da8703d11
