source,outliers,preprocessing,weight,model_id
img_raw_raw.csv,clip,standard,balanced,b8eaad20-2730-437e-bf1a-f21e2c250176
img_raw_raw.csv,clip,standard,no_treatment,d0b35068-2612-4864-bb63-a2a19638f9ef
img_raw_raw.csv,clip,standard,posterior,fab3ca08-340e-4dfe-b772-05e6df95ef57
img_raw_raw.csv,clip,no_treatment,balanced,ed9557f2-92d1-4eb0-8647-2fabaa03bdc0
img_raw_raw.csv,clip,no_treatment,no_treatment,4edb99a8-035c-4795-bb4b-691c640386ff
img_raw_raw.csv,clip,no_treatment,posterior,04a334c4-70df-480f-b7e9-72c0f1a41da4
img_raw_raw.csv,no_treatment,min_max,balanced,d3ab12d8-db3c-4f3e-8821-5579d009c7dc
img_raw_raw.csv,no_treatment,min_max,no_treatment,bebda950-4012-45b0-9c63-3a51830f9609
img_raw_raw.csv,no_treatment,min_max,posterior,13f6e757-c0ff-401f-a993-f409564a4d18
img_raw_raw.csv,no_treatment,robust,balanced,7c6897f6-519d-4585-ad52-5a54c8a1bc18
img_raw_raw.csv,no_treatment,robust,no_treatment,6fa5c67d-58ff-4444-bbff-4978fb27faf6
img_raw_raw.csv,no_treatment,robust,posterior,87468fbd-c22f-49b4-83f4-c53616253348
img_raw_raw.csv,no_treatment,standard,balanced,1ab9f560-0023-4ab8-9bf0-f9fcf4694c52
img_raw_raw.csv,no_treatment,standard,no_treatment,a2d5cad5-6516-4a31-bb01-4867473ab839
img_raw_raw.csv,no_treatment,standard,posterior,97da9ec8-e6c1-4545-acf7-40e7a3f5258b
img_raw_raw.csv,no_treatment,no_treatment,balanced,80b2a7b5-55d2-45d8-a306-387535c6ee2b
img_raw_raw.csv,no_treatment,no_treatment,no_treatment,18034f0c-65a1-4b31-8524-3fdc23c718cc
img_raw_raw.csv,no_treatment,no_treatment,posterior,c124812f-7fc2-4e9d-b176-17efcf26f2b3
img_indices_only.csv,clip,min_max,balanced,829339fb-9815-4cad-b4a5-4951fb247437
img_indices_only.csv,clip,min_max,no_treatment,87903aaa-708a-4ebc-953c-319b89fe8f8c
