source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
bison_gulch_stratified.csv,no_treatment,standard,balanced,1,0.28125,0.475,0.021466127477772,7.29983135853651e-23,09fe48b1-2eaf-40d5-b246-caf23ee9a225
bison_gulch_stratified.csv,no_treatment,standard,balanced,2,0.220338983050847,0.475,0.021466127477772,7.29983135853651e-23,bd67c0db-beac-41f0-a34d-d8828a2e82cb
bison_gulch_stratified.csv,no_treatment,standard,balanced,4,0.181818181818182,0.508333333333333,0.000243970131860394,2.98875506810568e-17,157a2b9e-0ad7-4d10-93b4-f1eb432b63d2
bison_gulch_stratified.csv,no_treatment,standard,balanced,6,0.16504854368932,0.533333333333333,-0.00509311887031494,5.51804852376209e-25,2f3a5595-7989-489d-a710-27ee75626e6f
bison_gulch_stratified.csv,no_treatment,standard,balanced,8,0.171428571428571,0.55,-0.00997406561296144,7.9406128041102e-17,62d6a5ee-750c-4aba-9257-ece312053f5a
bison_gulch_stratified.csv,no_treatment,standard,balanced,10,0.169811320754717,0.516666666666667,-0.011090841354918,6.41523647374982e-14,80444b0b-cbe8-4a37-a162-951595948e15
bison_gulch_stratified.csv,no_treatment,standard,balanced,12,0.160377358490566,0.516666666666667,-0.0126552014700823,4.55523332197052e-14,6608f246-f85b-43e2-b5c2-b429f4f86769
bison_gulch_stratified.csv,no_treatment,standard,balanced,14,0.166666666666667,0.533333333333333,-0.0126396048362822,2.33020633434228e-13,85e59814-42d9-4af2-a5e3-7f15cf120086
bison_gulch_stratified.csv,no_treatment,standard,balanced,16,0.148148148148148,0.525,-0.0126581630723361,7.57467740982936e-20,90e6391b-368d-4728-97d5-6836bc86fc86
bison_gulch_stratified.csv,no_treatment,standard,balanced,18,0.175925925925926,0.525,-0.0126580956711646,6.55009312772313e-20,dac3b763-531f-4798-8d41-8191ed3abde0
bison_gulch_stratified.csv,no_treatment,standard,balanced,20,0.166666666666667,0.533333333333333,-0.0124611521640683,3.4638993312015e-23,b8080398-e87e-435a-b741-0011d2fa3427
bison_gulch_stratified.csv,no_treatment,standard,balanced,24,0.166666666666667,0.541666666666667,-0.0125214068251847,1.20369260649021e-21,1a5b1fae-3e9c-4e0b-bdf3-c05643308da0
bison_gulch_stratified.csv,no_treatment,standard,balanced,32,0.148148148148148,0.516666666666667,-0.0124089237473761,2.24056341533849e-23,64c89203-17b8-4aa3-a143-5efc0c57a71d
bison_gulch_stratified.csv,no_treatment,standard,balanced,50,0.148148148148148,0.525,-0.0124016073712268,1.25065525695622e-18,3e14ab4e-5be3-4c59-8ee8-c149f821bdbb
bison_gulch_stratified.csv,no_treatment,standard,balanced,64,0.157407407407407,0.533333333333333,-0.0125298795296649,4.31928017081182e-21,7fc46b15-35f9-46ed-b1f7-e022c8d8934f
bison_gulch_stratified.csv,no_treatment,standard,balanced,100,0.12962962962963,0.516666666666667,-0.0126580498884594,2.45677849291109e-16,60157d66-fefd-4631-9c27-01ee129471a1
bison_gulch_stratified.csv,no_treatment,standard,balanced,128,0.12962962962963,0.508333333333333,-0.0126547187890758,1.60444555398037e-19,c10ad364-973f-421d-81b9-605a3fa7af1e
bison_gulch_stratified.csv,no_treatment,standard,balanced,256,0.12962962962963,0.508333333333333,-0.012526056211013,7.10109583413094e-21,d540892d-dbea-4b6c-917b-2a467294887d
bison_gulch_stratified.csv,no_treatment,standard,balanced,512,0.12962962962963,0.508333333333333,-0.0124916944441995,1.84328154223491e-17,42ebcc9c-9d05-48f1-a429-208cfe5eded7
bison_gulch_stratified.csv,no_treatment,standard,balanced,1024,0.138888888888889,0.508333333333333,-0.0124996886928708,1.5124790828496e-17,a6c0e049-be17-42f0-a7a8-70342d07ca98
bison_gulch_stratified.csv,no_treatment,robust,balanced,1,0.28125,0.483333333333333,-0.0126262377943334,2.43477211727745e-13,3582ca56-3470-4432-9c14-73e3fa66991e
bison_gulch_stratified.csv,no_treatment,robust,balanced,2,0.220338983050847,0.483333333333333,-0.0126262377943334,2.43477211727745e-13,c0dc74a7-6d89-4951-8ab9-c3378b98182e
bison_gulch_stratified.csv,no_treatment,robust,balanced,4,0.181818181818182,0.483333333333333,-0.0105042986295054,3.10790359721242e-07,b6fccfc8-9adf-40b4-a37c-8ee5eedfd2d8
bison_gulch_stratified.csv,no_treatment,robust,balanced,6,0.16504854368932,0.483333333333333,-0.01022949822386,1.87923266269734e-08,82b6af3d-d35f-47c8-96c9-88285b483356
bison_gulch_stratified.csv,no_treatment,robust,balanced,8,0.171428571428571,0.5,-0.0106691471950147,4.049155633627e-08,d145e43b-92db-4e88-a124-28e891a4ef21
