source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
0.98,Random Forest,Nothing,balanced,4,,0.841666666666667,0.0868457025673478,1.34582704362449,61718,2aacb0ba-3e36-4af6-9fc5-0f77f6e8b550
1,Random Forest,Nothing,balanced,64,,0.841666666666667,0.110543488711765,1.55019368281105,61718,bbcc6941-0c9b-4d99-8920-a1292179ccc2
0.98,Random Forest,Nothing,balanced,8,,0.875,0.149860720448547,1.24695886059698,61718,39e5effa-cd87-4f29-b01d-4b27dcb5f5e8
0.98,Random Forest,Nothing,balanced,16,,0.866666666666667,0.165344393223915,1.29930212980698,61718,757a85b4-13b9-4a18-98d1-4e9db0126932
1,Random Forest,Nothing,balanced,128,,0.85,0.104571977667471,1.56846885371297,61718,07fb103f-deba-4a19-898d-6aef83100e91
0.98,Random Forest,Nothing,balanced,32,,0.875,0.143048238247402,1.43269643902685,61718,86e904fa-28d2-4ff5-bf61-ccf857617e3c
1,Random Forest,Nothing,balanced,256,,0.866666666666667,0.0983847500204005,1.6144553281349,61718,c9d31b2d-f521-49c2-9407-86c754ef1b91
0.98,Random Forest,Nothing,balanced,64,,0.866666666666667,0.135993001616026,1.45325068694027,61718,da76cbb2-03a5-431f-8791-e3e28d6245e5
1,Random Forest,Nothing,balanced,512,,0.866666666666667,0.0971387013265349,1.61847938639043,61718,e1b378f7-4088-40d8-96d0-4f5f45c1e54e
0.98,Random Forest,Nothing,balanced,128,,0.866666666666667,0.120778039349076,1.52359539044864,61718,e778e097-c5ad-4fad-a222-a526b823817a
0.98,Random Forest,Nothing,balanced,256,,0.875,0.110904372643516,1.55790492669977,61718,0db08b6d-787f-4a92-8a4d-4f581c6036d6
0.98,Random Forest,Nothing,balanced,512,,0.875,0.108775935058901,1.55454608332445,61718,7a284593-0539-45b2-82d0-4eb9361b0888
0.99,Random Forest,Nothing,balanced,2,,0.75,0.175015782898366,1.52474825422199,61718,470f0e48-9742-49c0-b9e8-8042d82549c3
0.99,Random Forest,Nothing,balanced,4,,0.816666666666667,0.222135436513507,1.19475931767307,61718,568c95ae-7ec4-4702-afbf-89c5fb532a4e
0.99,Random Forest,Nothing,balanced,8,,0.866666666666667,0.235976785198909,1.25812265777148,61718,25fbb987-2771-426e-9c74-cbfea23681c4
0.99,Random Forest,Nothing,balanced,16,,0.841666666666667,0.194032022423414,1.32735579035277,61718,5b60612b-88e6-499e-baee-75de6efac451
0.99,Random Forest,Nothing,balanced,32,,0.908333333333333,0.149333369447604,1.39157691499817,61718,eb4a13b7-b26e-4852-a2eb-2e1312de8f84
0.99,Random Forest,Nothing,balanced,64,,0.891666666666667,0.129775210312465,1.4916078790477,61718,22667dfc-b366-4598-8c46-c270ac717513
0.99,Random Forest,Nothing,balanced,128,,0.891666666666667,0.118557923168376,1.53463250587775,61718,4bd3a3fc-09ce-473b-abc9-aa981585a1ed
