source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,model_id
img_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.152917505030181,0.9,0.423402548400027,1.12311277688741,5386bc40-c3f3-4797-a136-a5b059e02ee6
img_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.190821256038647,0.9,0.425244135061551,1.09492145015301,cb7799aa-c1a1-4954-824d-1f1cf9132e73
img_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.152917505030181,0.9,0.423402548400027,1.12311277688741,09ae2588-52ac-4270-a1ce-7faf60bc4254
img_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.190821256038647,0.9,0.425244135061551,1.09492145015301,7d6f4ffb-41cc-43da-b164-6b1e934ba391
img_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.123695976154993,0.991666666666667,0.302180388369878,1.24851113750352,796e0966-3ffc-4dd1-8844-c06dcdd0ac35
img_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.108823529411765,1,0.301254702314749,1.25329542533007,a30b1e96-6df3-4c2f-b841-7c914e8fd4f1
img_raw_raw.csv,no_treatment,no_treatment,balanced,12,0.0955506929248724,1,0.30891849729302,1.2548523641063,48deb7ce-acf0-4e44-b350-5cb8d9cb3a3e
img_raw_raw.csv,no_treatment,no_treatment,balanced,16,0.0881281864530226,1,0.318351926485948,1.26995332945833,aace21bd-14e0-4f8f-9ace-f58fa13bce0d
img_raw_raw.csv,no_treatment,no_treatment,balanced,32,0.0698689956331878,1,0.300807390928267,1.27232733497139,95b02da6-e2f6-4279-9ad1-c9fabed14f23
img_raw_raw.csv,no_treatment,no_treatment,balanced,64,0.0545851528384279,1,0.291054610248601,1.27525067787687,734c6e57-b2bb-45c7-bea2-9357957c371d
img_raw_raw.csv,no_treatment,no_treatment,balanced,128,0.0502183406113537,1,0.295551309482964,1.27940742169754,40e5b893-d7e2-4810-a705-6ac6a1801be1
img_raw_raw.csv,no_treatment,no_treatment,balanced,256,0.0480349344978166,1,0.293026535729972,1.28483312312924,3dc0070f-4388-447d-8656-aa355879bcfd
img_raw_raw.csv,no_treatment,no_treatment,balanced,512,0.0451237263464338,1,0.286523028464434,1.29193060965878,d10dbf4b-f5b8-4a7e-895b-0170ae412c2d
grd_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.270693512304251,0.241666666666667,0.0438259098219514,1.62745514428545,7ab3ae94-37c2-448b-bdbe-59cb742bd2a4
grd_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.290540540540541,0.241666666666667,0.0225822480043114,1.66385715358306,bba8dfa4-ccf3-4aee-8350-aa8b2f82b6f4
grd_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.243739565943239,0.216666666666667,0.0412908174911282,1.58988413505869,e743ce3d-bfea-4d00-932a-d2837b672d51
grd_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.235584843492586,0.216666666666667,0.079218875436442,1.57755701804329,b466689d-a824-45ca-bb49-aee18e7c738b
grd_raw_raw.csv,no_treatment,no_treatment,balanced,12,0.217854217854218,0.225,0.10018572671238,1.53970856719224,c9019855-f9f7-474d-927e-520016c2dbfe
grd_raw_raw.csv,no_treatment,no_treatment,balanced,16,0.207993474714519,0.266666666666667,0.129672164771934,1.48703840526165,b14e19d1-9f87-4e7f-a63f-fb4f55f9f582
grd_raw_raw.csv,no_treatment,no_treatment,balanced,32,0.171288743882545,0.325,0.26033574064402,1.39280861920651,0ecd2981-465e-46e7-98f9-3f0c911104c9
grd_raw_raw.csv,no_treatment,no_treatment,balanced,64,0.15252854812398,0.333333333333333,0.223466187983426,1.47142321524546,74a9eef8-d897-4d54-8bc3-565ec13abacb
grd_raw_raw.csv,no_treatment,no_treatment,balanced,128,0.144371941272431,0.366666666666667,0.266276728072698,1.4261437429524,7579deae-8499-4824-b0c9-09714359bf52
grd_raw_raw.csv,no_treatment,no_treatment,balanced,256,0.140293637846656,0.333333333333333,0.265159077682987,1.44036746571342,749672fb-8c5b-4530-a144-11f5fd63e207
grd_raw_raw.csv,no_treatment,no_treatment,balanced,512,0.139477977161501,0.35,0.228105851871123,1.45523288697731,23285449-da37-4d1b-b16b-91c9e2e58e36
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,1,0.151515151515152,0.391666666666667,Skipped,Skipped,a746c121-2d90-4d6a-92a2-97b10c619daf
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,2,0.220338983050847,0.291666666666667,Skipped,Skipped,b70d4560-0e71-4668-b477-9ed39fd1971b
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,8,0.278846153846154,0.516666666666667,Skipped,Skipped,f95ac37f-0fc1-40f5-9542-6f66cddd72d0
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,10,0.245283018867925,0.5,Skipped,Skipped,47dd49d1-ad71-4990-bdb7-86119d245c1b
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,12,0.259259259259259,0.483333333333333,Skipped,Skipped,47c8ba85-10da-4c22-baa0-c16430880c09
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,16,0.231481481481481,0.441666666666667,Skipped,Skipped,c988682f-602c-404f-8836-da0f0a07b713
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,32,0.175925925925926,0.441666666666667,Skipped,Skipped,2dd0eaea-5cfd-4310-a476-fdee443a86ba
bison_gulch_stratified.csv,no_treatment,no_treatment,balanced,64,0.12962962962963,0.441666666666667,Skipped,Skipped,e68aa20d-60cb-47a8-bf17-1bd0f772df0b
