"Species","raw_010nm_equal15"
"Alnus sp.",0.133333333333333
"Arctostaphyllos",0.2
"Carex sp.",0.266666666666667
"Cladonia gracilis",0.2
"Cladonia mitis",0.266666666666667
"Cladonia rangiferina",0.133333333333333
"Cladonia steallaris",0.2
"Cladonia stygia",0.266666666666667
"Dryas sp.",0.266666666666667
"Evernia mesomorpha",0.266666666666667
"Flavocetraria nivalis",0.133333333333333
"Nephroma arcticum",0.2
"Picea mariana",0.0666666666666667
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0
"Rosa acicularis",0.0666666666666667
"Salix alaxensis",0.0666666666666667
"Salix glauca",0.0666666666666667
"Umbilicaria hyperborea",0
