"Species","raw_PCA_more05"
"Bryoria sp.",0.1
"Ceratadon purpureus",0
"Dryas alleghenies",0.158088235294118
"Dryas octopetala",0.0637254901960784
"Empetrum nigrum",0.25
"Eriophorum vaginatum",0.1
"Heracleum lanatum",0
"Icmadophila ericetorum",0.25
"Lupinus sp.",0.25
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Peltigera apthosa",0.285714285714286
"Peltigera scabrata",0.285714285714286
"Picea mariana",0.176470588235294
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.222222222222222
"Salix alaxensis",0.148936170212766
"Sphagnum sp.",0
"Stereocaulon sp.",0.125
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.0833333333333334
"Vulpicida pinastri",0.0833333333333334
