"Species","raw_PCA_equal10"
"Arctostaphyllos",0.2
"Bryoria sp.",0.1
"Cetraria islandica",0.1
"Cladonia steallaris",0
"Cladonia uncialis",0.2
"Dryas sp.",0.1
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0.1
"Lupinus sp.",0
"Melanelia sp.",0.2
"Parmelis sulcata",0.1
"Peltigera apthosa",0.1
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.1
"Porpidia sp.",0
"Rosa acicularis",0.1
"Rubus sp.",0.1
"Salix (wooly)",0
"Salix alaxensis",0.2
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vulpicida pinastri",0
