"Species","Raw_050nm"
"Alectoria ochroleuca",0.2
"Alnus sp.",0.6
"Arctostaphyllos",0.6
"Asahinea chrysantha",0.4
"Aulacomnium palustre",0.4
"Aulacomnium turgidum",1
"Betula nana",1
"Bryoria sp.",0.4
"Carex sp.",0.4
"Cassiope tetragona",0.6
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.6
"Cladonia gracilis",0.4
"Cladonia mitis",0.8
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.4
"Cladonia stygia",0.6
"Cladonia uncialis",0.6
"Dactylina arctica",0.2
"Dicranum sp.",0.4
"Dryas alleghenies",1
"Dryas octopetala",0.4
"Dryas sp.",0.6
"Empetrum nigrum",1
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Flavocetraria cucculata",0.8
"Flavocetraria nivalis",1
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",1
"Icmadophila ericetorum",0.4
"Ledum decumbens",1
"Lupinus sp.",0.6
"Masonhalea richardsonii",0.4
"Melanelia sp.",1
"Nephroma arcticum",0.6
"Parmelis sulcata",0.4
"Pedicularis racemosa",0.4
"Peltigera apthosa",1
"Peltigera scabrata",0.2
"Petasites frigida",1
"Picea mariana",0.4
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.8
"Porpidia sp.",0.4
"Rhizocarpon geographicum",0.4
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.8
"Salix alaxensis",0.4
"Salix glauca",0
"Salix ovalifolia",0.4
"Salix pulchra",0.8
"Sphagnum sp.",0.4
"Stereocaulon sp.",0.2
"Toefeldia sp.",0
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0.4
"Unknown",0.2
"Usnea lapponica",0.4
"Usnea scabrata",0.6
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0.4
