"Species","raw_100nm_equal15"
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.2
"Carex sp.",0.0666666666666667
"Cladonia gracilis",0.2
"Cladonia steallaris",0.133333333333333
"Dryas sp.",0.266666666666667
"Evernia mesomorpha",0.266666666666667
"Nephroma arcticum",0
"Picea mariana",0.0666666666666667
"Pilophorus acicularis",0.2
"Rhizocarpon geographicum",0.0666666666666667
"Rosa acicularis",0
"Salix alaxensis",0.0666666666666667
"Salix glauca",0.2
"Umbilicaria hyperborea",0.0666666666666667
"Vaccinium vitis-idea",0.2
