"Species","raw_PCA_equal10"
"Alnus sp.",0.5
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.2
"Betula nana",0.2
"Bryoria sp.",0.1
"Carex sp.",0
"Cetraria islandica",0.3
"Cladonia gracilis",0.1
"Cladonia mitis",0.7
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.3
"Cladonia stygia",0.1
"Cladonia uncialis",0.2
"Dryas alleghenies",0.6
"Dryas octopetala",0.6
"Dryas sp.",0
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.1
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.1
"Hylocomium splendens",0.4
"Hypogymnia austerodes",0.2
"Ledum decumbens",0.7
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0
"Peltigera apthosa",0.3
"Picea mariana",0.1
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.3
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0
"Salix alaxensis",0.3
"Salix glauca",0.6
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.3
"Vulpicida pinastri",0.1
