"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0.2
"Alnus sp.",0.2
"Asahinea chrysantha",0.2
"Aulacomnium palustre",0
"Bryoria sp.",0.2
"Carex sp.",0
"Ceratadon purpureus",0
"Cladonia rangiferina",0.2
"Dactylina arctica",0
"Dicranum sp.",0
"Dryas sp.",0.2
"Eriophorum vaginatum",0.2
"Heracleum lanatum",0
"Icmadophila ericetorum",0
"Lupinus sp.",0.2
"Nephroma arcticum",0.2
"Pedicularis racemosa",0
"Peltigera scabrata",0
"Petasites frigida",0.2
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0
"Rhytidum rugosum",0.2
"Salix (wooly)",0.2
"Salix ovalifolia",0.2
"Sphagnum sp.",0
"Stereocaulon sp.",0
"Toefeldia sp.",0
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0
"Unknown",0
"Usnea lapponica",0.2
