"Species","raw_050nm_equal15"
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.0666666666666667
"Carex sp.",0.2
"Cladonia gracilis",0.133333333333333
"Cladonia mitis",0.2
"Cladonia rangiferina",0.266666666666667
"Cladonia steallaris",0.266666666666667
"Dryas sp.",0.266666666666667
"Evernia mesomorpha",0.0666666666666667
"Ledum decumbens",0.133333333333333
"Nephroma arcticum",0.133333333333333
"Picea mariana",0
"Pilophorus acicularis",0.2
"Rhizocarpon geographicum",0
"Rosa acicularis",0.0666666666666667
"Salix alaxensis",0.2
"Salix glauca",0.0666666666666667
"Umbilicaria hyperborea",0
