"Species","raw_PCA_equal10"
"Asahinea chrysantha",0.2
"Bryoria sp.",0
"Cetraria islandica",0.1
"Cladonia gracilis",0.1
"Cladonia uncialis",0.2
"Empetrum nigrum",0
"Eriophorum vaginatum",0
"Flavocetraria cucculata",0.2
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.1
"Lupinus sp.",0
"Melanelia sp.",0.2
"Nephroma arcticum",0.1
"Parmelis sulcata",0
"Pedicularis racemosa",0
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.2
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Salix (wooly)",0.1
"Salix alaxensis",0.1
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Usnea scabrata",0
"Vulpicida pinastri",0.1
