"Species","raw_PCA_more05"
"Bryoria sp.",0
"Ceratadon purpureus",0
"Cladonia gracilis",0.277777777777778
"Dactylina arctica",0.285714285714286
"Dryas alleghenies",0.180147058823529
"Dryas octopetala",0.0604575163398693
"Eriophorum vaginatum",0.2
"Heracleum lanatum",0
"Icmadophila ericetorum",0.25
"Nephroma arcticum",0.285714285714286
"Parmelis sulcata",0.0833333333333334
"Peltigera scabrata",0.285714285714286
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.2
"Porpidia sp.",0.272727272727273
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.170212765957447
"Sphagnum sp.",0
"Stereocaulon sp.",0.25
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.0833333333333334
"Usnea scabrata",0.25
"Vulpicida pinastri",0.166666666666667
