"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.2
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.4
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.6
"Betula nana",0.4
"Bryoria sp.",0.2
"Carex sp.",0.4
"Cassiope tetragona",0.4
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.6
"Cladonia gracilis",0.6
"Cladonia mitis",0.6
"Cladonia rangiferina",0.8
"Cladonia steallaris",0.6
"Cladonia stygia",1
"Cladonia uncialis",0.6
"Dactylina arctica",0.4
"Dicranum sp.",0.2
"Dryas alleghenies",0.6
"Dryas octopetala",1
"Dryas sp.",0.2
"Empetrum nigrum",0.6
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",0.4
"Icmadophila ericetorum",0.4
"Ledum decumbens",0.6
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.4
"Melanelia sp.",0.6
"Nephroma arcticum",0
"Parmelis sulcata",0.2
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.6
"Peltigera scabrata",0.2
"Petasites frigida",0
"Picea mariana",0.6
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.6
"Porpidia sp.",0
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0
"Salix alaxensis",0.2
"Salix glauca",0.6
"Salix ovalifolia",0
"Salix pulchra",0.4
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.4
"Toefeldia sp.",0
"Trapelopsis granulosa",0.4
"Umbilicaria hyperborea",0.2
"Unknown",0.2
"Usnea lapponica",0.4
"Usnea scabrata",0
"Vaccinium vitis-idea",1
"Vulpicida pinastri",0.2
