"Species","Raw_005nm"
"Alnus sp.",0.7
"Arctostaphyllos",0.1
"Asahinea chrysantha",0.2
"Betula nana",0.9
"Bryoria sp.",0.1
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia gracilis",0.2
"Cladonia mitis",0.4
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.5
"Cladonia stygia",0.4
"Cladonia uncialis",0.1
"Dryas alleghenies",0.5
"Dryas octopetala",0.5
"Dryas sp.",0.3
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.3
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.6
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Ledum decumbens",0.3
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.3
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.4
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.3
"Polytrichum sp.",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0
"Salix (wooly)",0
"Salix alaxensis",0
"Salix glauca",0.1
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0.4
