"Species","raw_PCA_equal05"
"Alnus sp.",0.2
"Arctostaphyllos",0.2
"Aulacomnium palustre",0.2
"Bryoria sp.",0.2
"Ceratadon purpureus",0
"Dicranum sp.",0.2
"Dryas sp.",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Heracleum lanatum",0
"Lupinus sp.",0.2
"Nephroma arcticum",0
"Parmelis sulcata",0.2
"Pedicularis racemosa",0.2
"Peltigera scabrata",0.2
"Petasites frigida",0
"Pilophorus acicularis",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Salix (wooly)",0
"Salix alaxensis",0.2
"Salix ovalifolia",0
"Sphagnum sp.",0.2
"Toefeldia sp.",0
"Umbilicaria hyperborea",0.2
"Unknown",0.2
"Usnea scabrata",0
"Vulpicida pinastri",0.2
