"","Species","raw_005nm_more10"
"1","Alnus sp.",0.340909090909091
"2","Arctostaphyllos",0.526315789473684
"3","Asahinea chrysantha",0.368421052631579
"4","Betula nana",0.410714285714286
"5","Bryoria sp.",0.2
"6","Carex sp.",0.375
"7","Cetraria islandica",0.571428571428571
"8","Cladonia gracilis",0.5
"9","Cladonia mitis",0.588235294117647
"10","Cladonia rangiferina",0.5
"11","Cladonia steallaris",0.4
"12","Cladonia stygia",0.722222222222222
"13","Cladonia uncialis",0.5
"14","Dryas alleghenies",0.150735294117647
"15","Dryas octopetala",0.0457516339869281
"16","Dryas sp.",0.325581395348837
"17","Empetrum nigrum",0.416666666666667
"18","Eriophorum vaginatum",0.1
"19","Evernia mesomorpha",0.25
"20","Flavocetraria cucculata",0.857142857142857
"21","Flavocetraria nivalis",0.526315789473684
"22","Hylocomium splendens",0.538461538461538
"23","Hypogymnia austerodes",0.461538461538462
"24","Ledum decumbens",0.894736842105263
"25","Lupinus sp.",0.166666666666667
"26","Masonhalea richardsonii",0.428571428571429
"27","Melanelia sp.",0.615384615384615
"28","Nephroma arcticum",0.333333333333333
"29","Parmelis sulcata",0.166666666666667
"30","Pedicularis racemosa",0.272727272727273
"31","Peltigera apthosa",0.428571428571429
"32","Picea mariana",0.0588235294117647
"33","Pilophorus acicularis",0.0666666666666667
"34","Polytrichum juniperinum",0.7
"35","Polytrichum sp.",0.615384615384615
"36","Porpidia sp.",0.0909090909090909
"37","Rhizocarpon geographicum",0.0555555555555556
"38","Rosa acicularis",0
"39","Rubus sp.",0.583333333333333
"40","Salix (wooly)",0.3
"41","Salix alaxensis",0.106382978723404
"42","Salix glauca",0.4375
"43","Salix pulchra",0.6
"44","Umbilicaria hyperborea",0.266666666666667
"45","Usnea lapponica",0.333333333333333
"46","Usnea scabrata",0.166666666666667
"47","Vaccinium vitis-idea",0.666666666666667
"48","Vulpicida pinastri",0.416666666666667
