"Species","raw_PCA_equal10"
"Alnus sp.",0.8
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.1
"Betula nana",0.5
"Bryoria sp.",0.1
"Carex sp.",0
"Cetraria islandica",0
"Cladonia gracilis",0.1
"Cladonia mitis",0.3
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.5
"Cladonia stygia",0.3
"Cladonia uncialis",0.2
"Dryas alleghenies",0.9
"Dryas octopetala",0.5
"Dryas sp.",0.5
"Empetrum nigrum",0.1
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.3
"Flavocetraria nivalis",0.6
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Ledum decumbens",0.5
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.1
"Melanelia sp.",0.2
"Nephroma arcticum",0.4
"Parmelis sulcata",0
"Pedicularis racemosa",0.2
"Peltigera apthosa",0
"Picea mariana",0.2
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0
"Rosa acicularis",0.1
"Rubus sp.",0.1
"Salix (wooly)",0.1
"Salix alaxensis",0.2
"Salix glauca",0.4
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0.2
"Usnea scabrata",0
"Vaccinium vitis-idea",0.3
"Vulpicida pinastri",0.3
