"Species","raw_100nm_more10"
"Bryoria sp.",0.2
"Carex sp.",0.25
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.0588235294117647
"Eriophorum vaginatum",0.1
"Lupinus sp.",0.166666666666667
"Parmelis sulcata",0.25
"Picea mariana",0.117647058823529
"Pilophorus acicularis",0.2
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.222222222222222
"Salix (wooly)",0.1
"Salix alaxensis",0.127659574468085
"Umbilicaria hyperborea",0.0666666666666667
"Usnea scabrata",0.166666666666667
"Vulpicida pinastri",0.25
