"Species","raw_100nm_equal10"
"Bryoria sp.",0.1
"Carex sp.",0.1
"Cetraria islandica",0.1
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.1
"Hypogymnia austerodes",0.1
"Lupinus sp.",0.1
"Melanelia sp.",0.2
"Nephroma arcticum",0.2
"Pedicularis racemosa",0.2
"Picea mariana",0.2
"Pilophorus acicularis",0
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0.1
"Rosa acicularis",0
"Rubus sp.",0.2
"Salix (wooly)",0
"Salix alaxensis",0.1
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.2
"Usnea scabrata",0
"Vulpicida pinastri",0
