"Species","Raw_PCA_100nm"
"Alnus sp.",0.25
"Betula nana",0.35
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.05
"Dryas alleghenies",0.45
"Dryas octopetala",0.55
"Dryas sp.",0.05
"Evernia mesomorpha",0
"Nephroma arcticum",0.1
"Rosa acicularis",0
"Salix alaxensis",0.05
"Vaccinium vitis-idea",0.15
