"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0.2
"Alnus sp.",0.2
"Arctostaphyllos",0.4
"Asahinea chrysantha",0.2
"Aulacomnium palustre",0
"Aulacomnium turgidum",0.4
"Betula nana",0.6
"Bryoria sp.",0.2
"Carex sp.",0
"Cassiope tetragona",0.4
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.4
"Cladonia gracilis",0.4
"Cladonia mitis",0.4
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.8
"Cladonia stygia",0.8
"Cladonia uncialis",1
"Dactylina arctica",0
"Dicranum sp.",0
"Dryas alleghenies",1
"Dryas octopetala",0.8
"Dryas sp.",0.2
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.4
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0
"Ledum decumbens",0.6
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.6
"Melanelia sp.",0.4
"Nephroma arcticum",0.2
"Parmelis sulcata",0.4
"Pedicularis racemosa",0
"Peltigera apthosa",0.4
"Peltigera scabrata",0
"Petasites frigida",0.2
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.8
"Polytrichum sp.",0.6
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0
"Rhytidum rugosum",0.2
"Rosa acicularis",0.4
"Rubus sp.",0.4
"Salix (wooly)",0.2
"Salix alaxensis",0.4
"Salix glauca",0.6
"Salix ovalifolia",0.2
"Salix pulchra",0.4
"Sphagnum sp.",0
"Stereocaulon sp.",0
"Toefeldia sp.",0
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0
"Unknown",0
"Usnea lapponica",0.2
"Usnea scabrata",0.4
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.4
