"Species","raw_010nm_more10"
"Alnus sp.",0.295454545454545
"Bryoria sp.",0.2
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.053921568627451
"Eriophorum vaginatum",0
"Lupinus sp.",0.166666666666667
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.0666666666666667
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.222222222222222
"Salix (wooly)",0.2
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.266666666666667
"Usnea scabrata",0.166666666666667
