"Species","raw_allbands_more10"
"Bryoria sp.",0.2
"Dryas alleghenies",0.143382352941177
"Dryas octopetala",0.0522875816993464
"Eriophorum vaginatum",0.1
"Lupinus sp.",0.166666666666667
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.0666666666666667
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.2
"Usnea scabrata",0.166666666666667
