"Species","raw_050nm_equal10"
"Alnus sp.",0.2
"Arctostaphyllos",0.5
"Asahinea chrysantha",0.3
"Betula nana",0.8
"Bryoria sp.",0.3
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia gracilis",0.1
"Cladonia mitis",0.3
"Cladonia rangiferina",0.4
"Cladonia steallaris",0.6
"Cladonia stygia",0.4
"Cladonia uncialis",0.2
"Dryas alleghenies",0.7
"Dryas octopetala",0.5
"Dryas sp.",0
"Empetrum nigrum",0
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.5
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0.1
"Hypogymnia austerodes",0
"Ledum decumbens",0.5
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.3
"Picea mariana",0
"Pilophorus acicularis",0.3
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.3
"Porpidia sp.",0
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.1
"Salix alaxensis",0.4
"Salix glauca",0
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Usnea scabrata",0.3
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.2
