"Species","raw_050nm_equal10"
"Alnus sp.",0.2
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia gracilis",0.1
"Cladonia uncialis",0.2
"Dryas sp.",0
"Empetrum nigrum",0
"Eriophorum vaginatum",0.1
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0.1
"Hypogymnia austerodes",0
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Picea mariana",0
"Porpidia sp.",0
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Salix (wooly)",0.1
"Salix glauca",0
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Vulpicida pinastri",0.2
