"Species","raw_PCA_more05"
"Asahinea chrysantha",0.263157894736842
"Bryoria sp.",0.1
"Ceratadon purpureus",0
"Dryas alleghenies",0.169117647058823
"Dryas octopetala",0.0604575163398693
"Heracleum lanatum",0
"Icmadophila ericetorum",0.25
"Lupinus sp.",0.25
"Nephroma arcticum",0.285714285714286
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Peltigera apthosa",0.214285714285714
"Peltigera scabrata",0.285714285714286
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.2
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.170212765957447
"Sphagnum sp.",0
"Stereocaulon sp.",0.125
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.0833333333333334
"Vulpicida pinastri",0.0833333333333334
