"Species","raw_PCA_equal15"
"Alnus sp.",0.533333333333333
"Arctostaphyllos",0.266666666666667
"Asahinea chrysantha",0.2
"Betula nana",0.4
"Carex sp.",0.133333333333333
"Cladonia gracilis",0.0666666666666667
"Cladonia mitis",0.2
"Cladonia rangiferina",0
"Cladonia steallaris",0.2
"Cladonia stygia",0.2
"Dryas alleghenies",0.666666666666667
"Dryas octopetala",0.4
"Dryas sp.",0.266666666666667
"Evernia mesomorpha",0.466666666666667
"Flavocetraria nivalis",0.0666666666666667
"Ledum decumbens",0.333333333333333
"Nephroma arcticum",0.266666666666667
"Picea mariana",0.133333333333333
"Pilophorus acicularis",0.133333333333333
"Rhizocarpon geographicum",0
"Rosa acicularis",0
"Salix alaxensis",0.0666666666666667
"Salix glauca",0.2
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.466666666666667
