"Species","Raw_010nm"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.4
"Arctostaphyllos",0
"Asahinea chrysantha",0.2
"Aulacomnium palustre",0.4
"Aulacomnium turgidum",0.4
"Betula nana",1
"Bryoria sp.",0.2
"Carex sp.",0.4
"Cassiope tetragona",0.4
"Ceratadon purpureus",0.2
"Cetraria islandica",0.4
"Cladonia amaurocraea",0.6
"Cladonia gracilis",0.2
"Cladonia mitis",0.6
"Cladonia rangiferina",0.8
"Cladonia steallaris",1
"Cladonia stygia",0.6
"Cladonia uncialis",0.4
"Dactylina arctica",0
"Dicranum sp.",0.2
"Dryas alleghenies",1
"Dryas octopetala",1
"Dryas sp.",0.2
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.4
"Heracleum lanatum",0
"Hylocomium splendens",1
"Hypogymnia austerodes",1
"Icmadophila ericetorum",0.4
"Ledum decumbens",0.6
"Lupinus sp.",0.4
"Masonhalea richardsonii",0.6
"Melanelia sp.",0.4
"Nephroma arcticum",0.4
"Parmelis sulcata",0.6
"Pedicularis racemosa",0
"Peltigera apthosa",0.4
"Peltigera scabrata",0.2
"Petasites frigida",0.6
"Picea mariana",0
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.4
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.4
"Salix alaxensis",0.8
"Salix glauca",0.6
"Salix ovalifolia",0.6
"Salix pulchra",0.4
"Sphagnum sp.",0.4
"Stereocaulon sp.",0.6
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",0.2
"Unknown",0
"Usnea lapponica",0.6
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0.6
