"","Category","raw_005nm_more05","raw_005nm_more10","raw_005nm_more15","raw_005nm_more20","raw_005nm_equal05","raw_005nm_equal10","raw_005nm_equal15","raw_005nm_equal20","raw_005nm_PCA_equal05","raw_005nm_PCA_equal10","raw_005nm_PCA_equal15","raw_005nm_PCA_equal20"
"1","allbands_bands",0.257048092868988,0.226706231454006,0.179305457122608,0.130801687763713,0.429850746268657,0.302083333333333,0.253333333333333,0.158333333333333,NA,NA,NA,NA
"2","allbands_equal",NA,NA,NA,NA,NA,NA,NA,NA,0.382089552238806,0.26875,0.232,0.125
