"Species","Raw_PCA_010nm"
"Alnus sp.",0.295454545454545
"Arctostaphyllos",0.315789473684211
"Asahinea chrysantha",0.421052631578947
"Betula nana",0.428571428571429
"Carex sp.",0.375
"Cladonia gracilis",0.166666666666667
"Cladonia mitis",0.588235294117647
"Cladonia rangiferina",0.3
"Cladonia steallaris",0.3
"Cladonia stygia",0.333333333333333
"Dryas alleghenies",0.117647058823529
"Dryas octopetala",0.0669934640522876
"Dryas sp.",0.325581395348837
"Evernia mesomorpha",0.35
"Flavocetraria nivalis",0.210526315789474
"Ledum decumbens",0.789473684210526
"Nephroma arcticum",0.285714285714286
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.333333333333333
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.222222222222222
"Salix alaxensis",0.0638297872340425
"Salix glauca",0.375
"Umbilicaria hyperborea",0.0666666666666667
"Vaccinium vitis-idea",0.666666666666667
