"Species","raw_050nm_equal20"
"Alnus sp.",0.25
"Cladonia rangiferina",0.15
"Cladonia steallaris",0.1
"Dryas sp.",0.15
"Evernia mesomorpha",0.05
"Nephroma arcticum",0.15
"Rosa acicularis",0
"Salix alaxensis",0.15
"Vaccinium vitis-idea",0.1
