"Species","Raw_100nm"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.2
"Arctostaphyllos",0.2
"Asahinea chrysantha",1
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.6
"Betula nana",0.6
"Bryoria sp.",0.2
"Carex sp.",0.8
"Cassiope tetragona",0.2
"Ceratadon purpureus",0.2
"Cetraria islandica",1
"Cladonia amaurocraea",1
"Cladonia gracilis",0.6
"Cladonia mitis",0.4
"Cladonia rangiferina",1
"Cladonia steallaris",0.4
"Cladonia stygia",1
"Cladonia uncialis",0.6
"Dactylina arctica",0.4
"Dicranum sp.",0.4
"Dryas alleghenies",1
"Dryas octopetala",0.6
"Dryas sp.",0.4
"Empetrum nigrum",0.6
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.8
"Flavocetraria cucculata",0
"Flavocetraria nivalis",0.4
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0.2
"Ledum decumbens",1
"Lupinus sp.",0
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.8
"Nephroma arcticum",0.6
"Parmelis sulcata",0.6
"Pedicularis racemosa",0.2
"Peltigera apthosa",1
"Peltigera scabrata",0.2
"Petasites frigida",0
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.6
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.6
"Rhytidum rugosum",0.6
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0
"Salix alaxensis",0.8
"Salix glauca",0.2
"Salix ovalifolia",0.4
"Salix pulchra",0.4
"Sphagnum sp.",0
"Stereocaulon sp.",0.8
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0.4
"Umbilicaria hyperborea",0.2
"Unknown",0.2
"Usnea lapponica",0.4
"Usnea scabrata",0
"Vaccinium vitis-idea",1
"Vulpicida pinastri",0.2
