"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0
"Arctostaphyllos",0.2
"Aulacomnium palustre",0.2
"Bryoria sp.",0.2
"Cassiope tetragona",0.2
"Ceratadon purpureus",0.2
"Cladonia rangiferina",0.2
"Cladonia stygia",0.2
"Dactylina arctica",0
"Dicranum sp.",0.2
"Dryas sp.",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Heracleum lanatum",0
"Hylocomium splendens",0
"Icmadophila ericetorum",0
"Lupinus sp.",0.2
"Nephroma arcticum",0.2
"Peltigera scabrata",0
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Salix (wooly)",0.2
"Salix pulchra",0.2
"Sphagnum sp.",0.2
"Stereocaulon sp.",0
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0.2
"Unknown",0
"Usnea lapponica",0
"Usnea scabrata",0.2
"Vulpicida pinastri",0
