"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0
"Alnus sp.",0.2
"Aulacomnium palustre",0.2
"Betula nana",0.2
"Bryoria sp.",0
"Carex sp.",0
"Ceratadon purpureus",0
"Dicranum sp.",0.2
"Eriophorum vaginatum",0
"Flavocetraria cucculata",0.2
"Heracleum lanatum",0
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0
"Lupinus sp.",0.2
"Nephroma arcticum",0.2
"Peltigera apthosa",0.2
"Peltigera scabrata",0.2
"Petasites frigida",0.2
"Picea mariana",0.2
"Polytrichum sp.",0
"Porpidia sp.",0
"Rhizocarpon geographicum",0
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix ovalifolia",0.2
"Salix pulchra",0.2
"Sphagnum sp.",0.2
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0
"Vulpicida pinastri",0
