"","Species","raw_allbands_more10"
"1","Alnus sp.",0.386363636363636
"2","Arctostaphyllos",0.526315789473684
"3","Asahinea chrysantha",0.315789473684211
"4","Betula nana",0.428571428571429
"5","Bryoria sp.",0.2
"6","Carex sp.",0.375
"7","Cetraria islandica",0.571428571428571
"8","Cladonia gracilis",0.5
"9","Cladonia mitis",0.647058823529412
"10","Cladonia rangiferina",0.5
"11","Cladonia steallaris",0.45
"12","Cladonia stygia",0.722222222222222
"13","Cladonia uncialis",0.6
"14","Dryas alleghenies",0.147058823529412
"15","Dryas octopetala",0.0522875816993464
"16","Dryas sp.",0.348837209302326
"17","Empetrum nigrum",0.5
"18","Eriophorum vaginatum",0.1
"19","Evernia mesomorpha",0.3
"20","Flavocetraria cucculata",0.857142857142857
"21","Flavocetraria nivalis",0.526315789473684
"22","Hylocomium splendens",0.538461538461538
"23","Hypogymnia austerodes",0.461538461538462
"24","Ledum decumbens",0.894736842105263
"25","Lupinus sp.",0.166666666666667
"26","Masonhalea richardsonii",0.428571428571429
"27","Melanelia sp.",0.384615384615385
"28","Nephroma arcticum",0.333333333333333
"29","Parmelis sulcata",0.25
"30","Pedicularis racemosa",0.272727272727273
"31","Peltigera apthosa",0.5
"32","Picea mariana",0.0588235294117647
"33","Pilophorus acicularis",0.2
"34","Polytrichum juniperinum",0.7
"35","Polytrichum sp.",0.615384615384615
"36","Porpidia sp.",0.0909090909090909
"37","Rhizocarpon geographicum",0.0555555555555556
"38","Rosa acicularis",0
"39","Rubus sp.",0.5
"40","Salix (wooly)",0.3
"41","Salix alaxensis",0.106382978723404
"42","Salix glauca",0.5
"43","Salix pulchra",0.5
"44","Umbilicaria hyperborea",0.266666666666667
"45","Usnea lapponica",0.333333333333333
"46","Usnea scabrata",0.166666666666667
"47","Vaccinium vitis-idea",0.619047619047619
"48","Vulpicida pinastri",0.416666666666667
