"Species","raw_100nm_equal05"
"Alnus sp.",0.2
"Arctostaphyllos",0.2
"Aulacomnium palustre",0.2
"Bryoria sp.",0.2
"Cassiope tetragona",0
"Ceratadon purpureus",0.2
"Eriophorum vaginatum",0.2
"Flavocetraria cucculata",0
"Heracleum lanatum",0
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0.2
"Lupinus sp.",0
"Masonhalea richardsonii",0.2
"Pedicularis racemosa",0.2
"Peltigera scabrata",0.2
"Petasites frigida",0
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Porpidia sp.",0.2
"Rosa acicularis",0
"Salix (wooly)",0
"Salix glauca",0.2
"Sphagnum sp.",0
"Toefeldia sp.",0.2
"Umbilicaria hyperborea",0.2
"Unknown",0.2
"Usnea lapponica",0.2
"Usnea scabrata",0
"Vulpicida pinastri",0.2
