"","Species","raw_005nm_PCA_more20"
"1","Alnus sp.",0.204545454545455
"3","Cladonia rangiferina",0.2
"4","Cladonia steallaris",0
"5","Dryas alleghenies",0.113970588235294
"6","Dryas octopetala",0.0702614379084967
"8","Evernia mesomorpha",0.25
"9","Nephroma arcticum",0.238095238095238
"11","Salix alaxensis",0.106382978723404
"12","Vaccinium vitis-idea",0.285714285714286
