"Species","raw_PCA_equal05"
"Alnus sp.",0.2
"Aulacomnium palustre",0.2
"Bryoria sp.",0
"Carex sp.",0
"Cassiope tetragona",0.2
"Ceratadon purpureus",0
"Cladonia amaurocraea",0.2
"Cladonia gracilis",0.2
"Cladonia rangiferina",0
"Cladonia steallaris",0
"Cladonia uncialis",0
"Dryas sp.",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Flavocetraria nivalis",0.2
"Heracleum lanatum",0
"Icmadophila ericetorum",0.2
"Lupinus sp.",0
"Parmelis sulcata",0
"Peltigera scabrata",0.2
"Petasites frigida",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0.2
"Rosa acicularis",0.2
"Salix (wooly)",0
"Salix ovalifolia",0
"Salix pulchra",0.2
"Sphagnum sp.",0
"Stereocaulon sp.",0.2
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",0
"Unknown",0.2
"Vaccinium vitis-idea",0.2
"Vulpicida pinastri",0
