"Species","raw_PCA_equal10"
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.2
"Betula nana",0.2
"Bryoria sp.",0.1
"Carex sp.",0
"Cladonia gracilis",0.1
"Cladonia rangiferina",0.2
"Cladonia stygia",0.1
"Cladonia uncialis",0.2
"Dryas sp.",0
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.1
"Flavocetraria nivalis",0.1
"Hypogymnia austerodes",0.2
"Lupinus sp.",0.2
"Melanelia sp.",0.1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0
"Picea mariana",0.1
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.1
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Salix (wooly)",0
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vulpicida pinastri",0.1
