"Species","raw_100nm_more05"
"Alectoria ochroleuca",0.5
"Alnus sp.",0.363636363636364
"Arctostaphyllos",0.473684210526316
"Asahinea chrysantha",0.421052631578947
"Aulacomnium palustre",0.666666666666667
"Aulacomnium turgidum",0.666666666666667
"Betula nana",0.410714285714286
"Bryoria sp.",0.2
"Carex sp.",0.3125
"Cassiope tetragona",1
"Ceratadon purpureus",0.2
"Cetraria islandica",0.571428571428571
"Cladonia amaurocraea",0.833333333333333
"Cladonia gracilis",0.5
"Cladonia mitis",0.588235294117647
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.6
"Cladonia stygia",0.722222222222222
"Cladonia uncialis",0.6
"Dactylina arctica",0.285714285714286
"Dicranum sp.",1
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.0555555555555556
"Dryas sp.",0.348837209302326
"Empetrum nigrum",0.5
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.35
"Flavocetraria cucculata",0.785714285714286
"Flavocetraria nivalis",0.631578947368421
"Heracleum lanatum",0
"Hylocomium splendens",0.538461538461538
"Hypogymnia austerodes",0.461538461538462
"Icmadophila ericetorum",0.625
"Ledum decumbens",0.894736842105263
"Lupinus sp.",0.25
"Masonhalea richardsonii",0.5
"Melanelia sp.",0.538461538461538
"Nephroma arcticum",0.333333333333333
"Parmelis sulcata",0.25
"Pedicularis racemosa",0.454545454545455
"Peltigera apthosa",0.428571428571429
"Peltigera scabrata",0.428571428571429
"Petasites frigida",0.5
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.6
"Polytrichum sp.",0.307692307692308
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.111111111111111
"Rhytidum rugosum",0.666666666666667
"Rosa acicularis",0.222222222222222
"Rubus sp.",0.5
"Salix (wooly)",0.2
"Salix alaxensis",0.127659574468085
"Salix glauca",0.5625
"Salix ovalifolia",0.666666666666667
"Salix pulchra",0.4
"Sphagnum sp.",0.125
"Stereocaulon sp.",0.5
"Toefeldia sp.",1
"Trapelopsis granulosa",0.8
"Umbilicaria hyperborea",0.2
"Unknown",0.4
"Usnea lapponica",0.333333333333333
"Usnea scabrata",0.166666666666667
"Vaccinium vitis-idea",0.619047619047619
"Vulpicida pinastri",0.166666666666667
