"Species","Raw_allbands"
"Alnus sp.",0.6
"Arctostaphyllos",0.7
"Asahinea chrysantha",0.3
"Betula nana",1
"Bryoria sp.",0
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia gracilis",0.4
"Cladonia mitis",0.4
"Cladonia rangiferina",0.4
"Cladonia steallaris",0.4
"Cladonia stygia",0.6
"Cladonia uncialis",0.3
"Dryas alleghenies",0.9
"Dryas octopetala",0.7
"Dryas sp.",0.3
"Empetrum nigrum",0.1
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.3
"Ledum decumbens",0.4
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.1
"Melanelia sp.",0.5
"Nephroma arcticum",0.3
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.4
"Peltigera apthosa",0.3
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.3
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.3
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.3
"Salix alaxensis",0.2
"Salix glauca",0.6
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.4
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.2
