"Species","raw_allbands_equal20"
"Alnus sp.",0.2
"Cladonia rangiferina",0.05
"Cladonia steallaris",0
"Dryas sp.",0.2
"Evernia mesomorpha",0
"Nephroma arcticum",0.05
"Rosa acicularis",0
"Salix alaxensis",0.15
"Vaccinium vitis-idea",0.1
