"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Abiotic",255,0.377218934911243,202.8,0.3
"2","Forb",0,0,0,0
"3","Graminoid",0,0,0,0
"4","Lichen",35,0.0517751479289941,169,0.25
"5","Moss",0,0,169,0.25
"6","ShrubDecid",6,0.00887573964497041,0,0
"7","ShrubEvergreen",247,0.365384615384615,135.2,0.2
"8","TreeBroadleaf",0,0,0,0
"9","TreeConifer",133,0.196745562130178,0,0
"10","Unknown",0,0,0,0
