"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Abiotic",0,0,66.5,0.1
"2","Forb",7,0.0105263157894737,0,0
"3","Graminoid",0,0,0,0
"4","Lichen",168,0.252631578947368,0,0
"5","Moss",0,0,0,0
"6","ShrubDecid",0,0,598.5,0.9
"7","ShrubEvergreen",0,0,0,0
"8","TreeBroadleaf",0,0,0,0
"9","TreeConifer",490,0.736842105263158,0,0
"10","Unknown",0,0,0,0
